#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4915.717790712576    All      -2.228996595011424         1.5479314888334983        -0.7296512944877209        1.1977087480456368         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5886.576914813292    All      3.2255991988435464         -0.545014559461876        0.7255257000089887         -1.1958360708156974        
Check         All|All|All                            All                  All      0.9966026038321221         1.0029169293716222        -0.004125594478732175      0.0018726772299393346      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4915.717790712576    All      -0.00034987211771705755    -7.442368227872084e-05    -0.002693318983978598      -3.0467838881671415e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5886.576914813292    All      -0.000551180556787391      9.154959702683961e-05     -0.00016129291970779067    0.00020216059407630727     
MWEBV         All|All|All                            All                  All      -0.3998298199374948        -2.76078195988525         -0.025483221454569716      -0.7701769841325836        
Redshift      All|All|All                            All                  All      0.6061893561714433         1.601951705166016         5.049089319356104          0.5496702233701495         
