#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4313.697430525753     All      -0.8455931993927316        0.662621907017602         0.13025669756462033        0.4970880371259566        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6308.081618857111     All      0.7714462838677661         -0.20425123180238813      -0.6580801636013331        -0.3471838755972433       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6459.887009619445     All      0.5725063709132027         -0.03421052567862404      0.69559986214638           -0.16658622653999108      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7799.86399261018      All      0.26528641154862076        -0.06878630220832349      -0.007823996098028668      -0.10916762254800462      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5316.942399122905     All      0.0915438971116242         0.5971796416751829        -0.4087110206302988        0.14646330121733153       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5314.310803602492     All      0.034988938233638675       0.10651133646799593       0.06453002086334261        0.026176876577405604      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4328.404414547264     All      -0.10562051910917654       0.006076925293108104      -0.0704594558947584        0.03323925047058721       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7749.8490654392135    All      0.21181815565705053        -0.06687195080790076      0.253404677811472          -0.07947024938266438      
Check         All|All|All                                      All                   All      0.9963763388299947         0.9982697999566525        -0.001283377838603994      0.0005594913233775839     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4313.697430525753     All      -0.0005057785602959696     0.00033002550590899646    -0.0004354749537366222     0.0002528156343788433     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6308.081618857111     All      -0.00021902971358415304    6.401924360128835e-05     -0.0005051065336207105     6.965777266430099e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6459.887009619445     All      -0.00016687149473127246    3.635250594127201e-05     -0.0002206626134584056     5.634958391815731e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7799.86399261018      All      -4.911420439156687e-05     5.83829757763304e-06      3.996977487048324e-05      1.96835052529173e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5316.942399122905     All      -5.459537531990241e-05     0.00027147035746634765    -0.0013853005453114261     4.439073553048361e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5314.310803602492     All      -1.4695150014068788e-06    5.621669023549063e-05     -0.00018794289256487864    1.0403266760752162e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4328.404414547264     All      -8.001659200541564e-05     4.798311156396134e-06     -5.327396392606433e-05     2.52496319556811e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7749.8490654392135    All      -2.8886409130556827e-05    1.3877753020136927e-05    -3.7017303626155164e-05    1.2277782265117427e-05    
MWEBV         All|All|All                                      All                   All      -0.8072366979526069        -4.0291305970511          0.04288515493041718        -1.047563072597077        
Redshift      All|All|All                                      All                   All      5.732831129274123          -2.4051991562107133       5.1496960861694445         -2.4210169125992254       
