#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4313.697430525753     All      -0.8089011443863535        0.6424562561574199        0.25977522982391366       0.48434742899988587       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6308.081618857111     All      0.7750236836587555         -0.18974249660601572      -0.7336063394895481       -0.3469935663761692       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6459.887009619445     All      0.561262746899673          -0.036497562039894405     0.7361783315713383        -0.16185794055840197      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7799.86399261018      All      0.24134976003641995        -0.04242853859821594      -0.01666219054805851      -0.09317948493150485      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5316.942399122905     All      0.056257428498745154       0.5995155904015448        -0.5605195861000056       0.15194364124009735       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5314.310803602492     All      0.031312638672849086       0.09926568030254046       0.160187422909569         0.029282970217688054      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4328.404414547264     All      -0.08111274488081528       0.011379438343883663      -0.04984980635924785      0.027903179072795437      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7749.8490654392135    All      0.19099969926600846        -0.06595146152328368      0.2507934180841165        -0.07250568811458247      
Check         All|All|All                                      All                   All      0.9661920677652823         1.017996906437979         0.0462964798920773        0.018940539549808233      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4313.697430525753     All      -0.0005687194626868851     0.00040491665254208657    -0.0004202123528058457    0.00029839316706663547    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6308.081618857111     All      -0.00020751858265484927    6.0896863167868224e-05    -0.0005451259117385808    6.310527554219281e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6459.887009619445     All      -0.00014600456137131882    3.753724911326965e-05     -0.0002045980440037288    5.0655335001979684e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7799.86399261018      All      -4.4042095221714414e-05    3.1068092888368904e-06    5.779937012363128e-05     1.7937269777683646e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5316.942399122905     All      -8.99405427808855e-05      0.0002744991797313287     -0.0013834512983677228    5.697292984880658e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5314.310803602492     All      -3.3205601192836153e-06    7.064236368738365e-05     -0.0003290168872531354    9.409645033546488e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4328.404414547264     All      -7.480001180668012e-05     1.41407586349624e-05      -4.283858447902804e-05    2.7059245722480676e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7749.8490654392135    All      -2.8143786640371977e-05    7.63932914196172e-06      -4.092627013664999e-05    9.829386571209332e-06     
MWEBV         All|All|All                                      All                   All      -0.7957004312079388        -4.036111825276745        0.05973035707683705       -1.0528431059118173       
Redshift      All|All|All                                      All                   All      5.5607178956095416         -2.953807693510946        5.392665362925467         -2.53281121641684         
