#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g            4595.712004447367     All      -0.6202188615014186        0.43239224163436063        -0.7945628349286249        0.3074123761402468         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i            7351.431596479458     All      0.8179146998408336         -0.03764236340426663       0.9818103698402858         -0.23486939497621537       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r            6058.157605033766     All      0.8395893406090943         0.043736092443147356       -1.3571416998376273        -0.3197985866591863        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6065.382081626227     All      0.1027165245219269         0.0423589057717777         0.23045392508129758        -0.009376361893814798      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5239.73947944967      All      -0.03011895166246656       0.13867051339744307        0.11910047357810427        0.06029518890557327        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4289.311777033199     All      -0.16789242457770898       0.22346356228100106        0.2307326753708372         0.13777405973436962        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7415.858340230785     All      0.09003606091500424        0.019503572705215078       0.23796645391940263        -0.0123554019618342        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3505.3291050465045    All      -0.07943111906350286       0.15391368348218748        0.3345469918307975         0.0909373747317621         
Check         All|All|All                              All                   All      0.9525952690817618         1.0163962083108657         -0.017093645145527248      0.020019254020901156       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g            4595.712004447367     All      -0.0002909229180755674     0.00020079210640752877     -0.00034666066923070004    0.0001446978869050457      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i            7351.431596479458     All      3.610744446127601e-05      -0.00012119538089183417    -0.0004746280891051019     -7.241917705554045e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r            6058.157605033766     All      -7.114974498379585e-05     -7.640415225607958e-05     -0.0004414687761929027     -2.141225720218612e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6065.382081626227     All      -1.2299711525948136e-05    -9.791242094067305e-06     -6.019630074319077e-05     -1.8691934104027047e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5239.73947944967      All      -1.222567655774952e-05     5.586608787776918e-05      5.1965409633466844e-05     2.4498705392607052e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4289.311777033199     All      -0.00010586762463259331    0.00011293766514646748     6.381867116727985e-05      7.412001554689842e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7415.858340230785     All      -1.2823726489750532e-05    -5.13573542030816e-06      -4.7233327215842976e-05    3.964251598931221e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3505.3291050465045    All      -0.00017063235984675937    0.00027816867008283354     0.0005299562163434468      0.00016983877249793003     
MWEBV         All|All|All                              All                   All      -0.8221837645709371        -3.8708285627698125        0.4331289969198959         -0.9737153503650977        
Redshift      All|All|All                              All                   All      7.497793302089331          0.232596725134826          6.011398696093894          -2.098252428530828         
