#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4035.7455740615196    All      1.1902070832637373         0.8985221182840064        0.44442236740378505       -0.07517886014508542       
Zeropoint     ST|NICMOS2|F110W_faint       5201.679770021946     All      0.5857983200876141         0.11135352294999734       -0.32841509303249694      -0.1691979364439964        
Zeropoint     VEGAHST|ACSWF|F775W          3465.1546339396245    All      -0.7828861272977498        -0.020962723009176898     -0.20812322389405224      0.2388959357052403         
Check         All|All|All                  All                   All      0.9931192760536016         0.9889129182248269        -0.09211594952276414      -0.005480860883841504      
Lambda        VEGAHST|ACSWF|F850LP_3pix    4035.7455740615196    All      0.00011865884614664749     0.0005477501803681956     -2.031903522951481e-05    0.00013886241902120672     
Lambda        ST|NICMOS2|F110W_faint       5201.679770021946     All      0.00011318265220964724     1.0759847448206087e-05    0.0002798172126352982     -2.0875520075050587e-05    
Lambda        VEGAHST|ACSWF|F775W          3465.1546339396245    All      -0.00043425354520184765    -8.458091526471316e-05    -0.002157011246332353     1.764237432886063e-05      
MWEBV         All|All|All                  All                   All      -0.21917158560586336       -1.2737340434419764       -0.08281214102554557      -0.3472012121031312        
Redshift      All|All|All                  All                   All      -2.17573847390888          -1.4887576903127808       -0.6747628978356346       0.19366067315720428        
