#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4035.7455740615196    All      1.85046096608068           0.9321839955823918        1.1028290243681218       -0.24989882545923625      
Zeropoint     ST|NICMOS2|F110W_faint       5201.679770021946     All      1.058011288725215          0.19841366388355652       -0.5206654826348358      -0.3032341354927137       
Zeropoint     VEGAHST|ACSWF|F775W          3465.1546339396245    All      -1.901362765639331         -0.13032499601983716      -0.5756683855557422      0.5511958308789437        
Check         All|All|All                  All                   All      1.0071094891665637         1.0002726634461112        0.006495156177543815     -0.0019371300730062213    
Lambda        VEGAHST|ACSWF|F850LP_3pix    4035.7455740615196    All      0.000944971876823627       0.0005632705705798352     0.0007663554314464976    -9.013374988131e-05       
Lambda        ST|NICMOS2|F110W_faint       5201.679770021946     All      -0.00033505784923918417    -6.19451071339476e-05     0.0001412158879094362    9.526362174228968e-05     
Lambda        VEGAHST|ACSWF|F775W          3465.1546339396245    All      -0.0037007043672622206     -0.0003693556867610807    -0.00274128700426916     0.0009627988146307053     
MWEBV         All|All|All                  All                   All      -0.2214146595054598        -1.2764559383096952       -0.042878019561882294    -0.34557510341505315      
Redshift      All|All|All                  All                   All      0.18826481403892736        -1.0775629207916637       -3.773335086882748       -0.580708352356198        
