#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.965918066139    All      1.0052903102910702      0.9978232189117975       0.0008039278443904307    -0.0023964017148505675    
Check         All|All|All                           All                  All      1.0052903102910702      0.9978232189117975       0.0008039278443904307    -0.0023964017148505675    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.965918066139    All      0.020831434041426948    -0.009118606131503065    6.627612955821314e-05    -0.009752755812110925     
MWEBV         All|All|All                           All                  All      -1.0684368282049213     -3.969460979584305       -0.014971204510633187    -0.945627103061023        
Redshift      All|All|All                           All                  All      -86.85648934544427      36.572221007051105       -8.158394906386421       39.840719951244445        
