#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                  ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.965918066139    All      0.9830157493936396      1.0096650797125406      -0.0005955767566678816     0.008653985766526873     
Check         All|All|All                           All                  All      0.9830157493936396      1.0096650797125406      -0.0005955767566678816     0.008653985766526873     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.965918066139    All      0.021115609346151754    -0.00919398501212812    -2.2502082949661512e-05    -0.009873836203141362    
MWEBV         All|All|All                           All                  All      -1.0690999449226188     -3.9613927216881173     -0.011018732714523916      -0.942606626432374       
Redshift      All|All|All                           All                  All      -105.67364292104116     44.442518686666155      -11.824005232595747        48.37012146281489        
