#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6041.438976869158     All      1.4585460716055592        0.14039935264893444        0.6195455727499133         -0.4017162786612009       
Zeropoint     AB|SDSS|SDSS_r            4981.9119400764785    All      0.5836882994134649        0.33772050419678123        -0.5287579245724428        -0.10371584067853691      
Zeropoint     AB|SDSS|SDSS_g            3812.5873662772115    All      -1.0999587344849324       0.5185309382007119         -0.13350185512278623       0.5212377584800726        
Zeropoint     AB|SDSS|SDSS_z            7182.767337284245     All      0.05617005497464321       0.0026095979922757806      0.0477918571960223         -0.015313671839254847     
Check         All|All|All               All                   All      0.998445691508735         0.9992603930387034         0.005077650250706611       0.0004919673010798792     
Lambda        AB|SDSS|SDSS_i            6041.438976869158     All      -7.233329107500965e-05    -9.609725743790772e-06     -0.0003456036117853642     5.008426878379145e-06     
Lambda        AB|SDSS|SDSS_r            4981.9119400764785    All      4.671671690544902e-05     -1.8401264412968797e-05    -0.0012335340570872166     -7.625802838415847e-05    
Lambda        AB|SDSS|SDSS_g            3812.5873662772115    All      -0.001462509615162683     0.0006056156134881508      -0.0009734188127962497     0.0006302172154064325     
Lambda        AB|SDSS|SDSS_z            7182.767337284245     All      -3.473003924542314e-05    -2.7048037539535637e-06    -2.0897114883313522e-05    9.499130538259162e-06     
MWEBV         All|All|All               All                   All      -0.5518349327202516       -3.071583999098415         0.07120514181745419        -0.8175876097554307       
Redshift      All|All|All               All                   All      4.208263452845212         0.22014830603414026        4.1401162911582245         -1.1143059331994771       
