#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6041.438976869158     All      1.2532891733185845         0.11883126469651728        0.44251032177983196        -0.34978306011017274      
Zeropoint     AB|SDSS|SDSS_r            4981.9119400764785    All      0.6859648799760452         0.35093378023987043        -0.6525725796040901        -0.13825196845014176      
Zeropoint     AB|SDSS|SDSS_g            3812.5873662772115    All      -1.0381794854205288        0.5198749235287181         0.09465056494894983        0.511733399461646         
Zeropoint     AB|SDSS|SDSS_z            7182.767337284245     All      0.09684713702132902        0.009390927547414663       0.1188022213051807         -0.02318576715149987      
Check         All|All|All               All                   All      0.99792170489543           0.9990308960125205         0.0033905284298723914      0.0005126037498316069     
Lambda        AB|SDSS|SDSS_i            6041.438976869158     All      -7.354271414007998e-05     -1.215123529797454e-05     -0.00011687121505463328    1.4781798820723348e-05    
Lambda        AB|SDSS|SDSS_r            4981.9119400764785    All      -6.009658128226348e-05     -1.376190857388546e-05     -0.0010903660011628527     -3.356529949541786e-05    
Lambda        AB|SDSS|SDSS_g            3812.5873662772115    All      -0.0014214117112104079     0.0005381168426038109      -0.0014328691730326288     0.0005743405462894947     
Lambda        AB|SDSS|SDSS_z            7182.767337284245     All      -2.7254382056636203e-05    -2.6933975412233048e-06    -3.3107637901891066e-05    6.522878867379095e-06     
MWEBV         All|All|All               All                   All      -0.5565118008089618        -3.067689453220268         0.11799881540424881        -0.8127074314986725       
Redshift      All|All|All               All                   All      4.174898380083299          0.4803688553693064         4.42164399449179           -1.006112149012579        
