#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5921.788755830151     All      1.8277507794520242        -0.15381523569093503       0.16447824854814996       -0.6381213339061442        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4187.765570190556     All      -1.3230745231067045       0.6773568395470164         -0.5740136088669967       0.6259907160387435         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5115.6926167733045    All      0.4913212850343836        0.4757275263918004         0.4099350519831457        0.013214118397103514       
Check         All|All|All                              All                   All      0.9959975413797033        0.9992691302478818         0.0003996916642989845     0.0010835005297027411      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5921.788755830151     All      0.0004087292387332694     -1.1702156658764709e-05    0.00026644013845022606    -0.00012505833759750916    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4187.765570190556     All      -0.0014221783413548208    0.0005252547011135796      -0.002278569878597399     0.0005326609019871521      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5115.6926167733045    All      9.321444747005072e-05     0.00021542874932409373     -0.0004165961484636992    2.1218446095933623e-05     
MWEBV         All|All|All                              All                   All      -0.855597956547625        -3.8543465796388787        0.016909624676753054      -0.9760364835539215        
Redshift      All|All|All                              All                   All      3.3762956887643036        -0.816477586905151         4.743438260686705         -1.1540463302786241        
