#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5921.788755830151     All      1.9211940522449051        -0.1727651219713522       -0.1433739959552701       -0.6884695151993907       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4187.765570190556     All      -1.3584542031601443       0.6655866301441549        -0.2954598140709001       0.6461116738685948        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5115.6926167733045    All      0.4319599690867728        0.5071270925144589        0.439392446035349         0.04409247183535142       
Check         All|All|All                              All                   All      0.9946998181715336        0.9999486006872615        0.0005586360091788256     0.0017346305045555233     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5921.788755830151     All      -0.0003369947261264247    5.52369480625269e-05      -8.419105585949241e-05    0.00012400570017465835    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4187.765570190556     All      -0.0008134687305892202    0.00022645085557711835    -0.0016149350724871635    0.00026666888639596       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5115.6926167733045    All      0.00015918208254223851    7.632149159017128e-05     -6.248566463700553e-05    -2.977886873203159e-05    
MWEBV         All|All|All                              All                   All      -0.8714555521839196       -3.8433758534109685       0.027478153420215666      -0.9668259915988532       
Redshift      All|All|All                              All                   All      5.514293507541939         0.31102700863794297       -0.17981092495880324      -1.702899216815424        
