#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5694.01204879837      All      0.3980946254220482        0.2068469699416653         -0.8404970642392096       -0.09980317696454549       
Zeropoint     AB|PS|PS_i                6896.681781440513     All      0.9729319411597896        -0.19129084445808076       0.7547978666199606        -0.34554250094167294       
Zeropoint     AB|PS|PS_z                7925.9702043013995    All      0.6755783041273054        -0.20430303380933879       -0.14496840208919615      -0.29307557297161696       
Zeropoint     AB|PS|PS_g                4483.713724263916     All      -1.0519508663419543       1.183521226079165          0.2111503662868497        0.7375894764177257         
Check         All|All|All               All                   All      0.9946540043671891        0.9947743177534107         -0.019517233421595392     -0.0008317744601097354     
Lambda        AB|PS|PS_r                5694.01204879837      All      0.00019874340858497518    -0.00023419353269701483    -0.0007443192083657778    -0.00017423735271273667    
Lambda        AB|PS|PS_i                6896.681781440513     All      -0.0006120659546263619    0.000287821919808351       -0.0008346333481236161    0.00025587723314064416     
Lambda        AB|PS|PS_z                7925.9702043013995    All      -0.0005626708846097654    0.00016157053110838325     0.00031938088494574014    0.00025016175796603097     
Lambda        AB|PS|PS_g                4483.713724263916     All      -0.001065425863084578     0.0012451414135690848      0.0005156859703811812     0.0007756404738097344      
MWEBV         All|All|All               All                   All      -0.5977302376014144       -3.706130257708651         0.02173074073898995       -1.011538406718565         
Redshift      All|All|All               All                   All      6.006852017877743         -2.8596993979924434        0.7910114931519052        -2.8528282870711323        
