#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     AB|PS|PS_r                5694.01204879837      All      0.4116171656056415         0.33613970922825587       -3.20275559943331        -0.16750976335496714      
Zeropoint     AB|PS|PS_i                6896.681781440513     All      1.0108230652774364         -0.2357800473602012       1.7823864273977064       -0.3265199257603101       
Zeropoint     AB|PS|PS_z                7925.9702043013995    All      0.4742752926852215         -0.06366467438603252      0.2731424328427182       -0.16303565269439793      
Zeropoint     AB|PS|PS_g                4483.713724263916     All      -0.890970128719373         0.9670284862528078        1.2041878489919988       0.6589486483010049        
Check         All|All|All               All                   All      1.0057453948489263         1.00372347373483          0.056961109799113396     0.0018833064913297282     
Lambda        AB|PS|PS_r                5694.01204879837      All      1.6015627045908986e-05     -9.060478191271912e-05    -0.001088262865677103    -8.329394838970399e-05    
Lambda        AB|PS|PS_i                6896.681781440513     All      -0.0007357412352353228     6.943163078625308e-05     -0.00223079772324444     0.0001627210351586605     
Lambda        AB|PS|PS_z                7925.9702043013995    All      -0.00042258928654985385    4.420289248705606e-05     0.0005779927020586068    0.00017784272938727657    
Lambda        AB|PS|PS_g                4483.713724263916     All      -0.0007738164032414358     0.000848215092703404      0.0007935008941634462    0.000563759321969131      
MWEBV         All|All|All               All                   All      -0.5913650042482184        -3.722365069653044        0.13622122356256328      -1.0137908005787475       
Redshift      All|All|All               All                   All      6.341271352213738          -2.2538612912988754       5.253731408722263        -2.5652675702011933       
