#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4361.566877159961    All      -2.030891946501344        0.9494829367539204         0.044343167320834875      0.9727849827942081         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5456.549629537849    All      3.0303272477934726        0.051833188629846205       -0.043926769638593814     -0.9721537545941739        
Check         All|All|All                           All                  All      0.9994353012921284        1.0013161253837666         0.00041639768224106116    0.0006312282000342506      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4361.566877159961    All      0.0002589261383240157     -0.00012062630285316257    -2.361183103776545e-06    -0.00012373808575322334    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5456.549629537849    All      0.00014827286923862947    2.341076639635306e-05      0.0005146723870628465     -1.770422990705747e-05     
MWEBV         All|All|All                           All                  All      -0.9978764578213086       -4.059768284605836         -0.013621247624833046     -0.9979667549541139        
Redshift      All|All|All                           All                  All      -0.4607209787567216       0.06073438791709407        -8.43738442310196         -0.2066665470003756        
