#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4361.566877159961    All      -2.079678874707324        0.9392516177849419         -0.20516619949977333      0.9742093560784355         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5456.549629537849    All      3.078884880293846         0.06210225690592708        0.20581323886594838       -0.9734808500531871        
Check         All|All|All                           All                  All      0.9992060055865224        1.001353874690869          0.0006470393661750506     0.0007285060252484321      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4361.566877159961    All      0.00030381864876861974    -0.00014092005987354178    3.847355765742338e-06     -0.00014469433905610907    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5456.549629537849    All      7.646399179741957e-05     1.7477910449273456e-05     0.00029621192531980857    -5.9951295046685155e-06    
MWEBV         All|All|All                           All                  All      -0.9963939377339037       -4.060223077361513         -0.013567865705521598     -0.9985954192929205        
Redshift      All|All|All                           All                  All      -0.03140843018040751      0.10250737446719782        -7.035405510463066        -0.2703370522103697        
