#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159     All      0.02468655736449277        0.09295609999950827        -0.4009832420814041        0.004343595592789292      
Zeropoint     AB|PS|PS_z                            8536.211206062804    All      0.41926620206327836        -0.10897504925571067       0.10919321242618962        -0.1671927626112707       
Zeropoint     AB|PS|PS_r                            6132.408803660571    All      1.1301796693634412         -0.11401777273831737       -0.34202745211895647       -0.4205391540853601       
Zeropoint     AB|PS|PS_g                            4828.926472252961    All      -1.11721917879432          1.2148536721179215         0.06446475670078833        0.7625096164756513        
Zeropoint     AB|PS|PS_i                            7427.675198101589    All      0.5269639663447816         -0.09637884197861712       0.47441754779923295        -0.18187218380290027      
Check         All|All|All                           All                  All      0.983877216341674          0.9884381081447846         -0.09493517727414968       -0.0027508884310905035    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159     All      -4.6006093958630135e-05    2.206143146195383e-05      -0.00021671351350990997    1.2500903605774041e-05    
Lambda        AB|PS|PS_z                            8536.211206062804    All      0.0003003997326137975      -8.166671312353742e-05     -2.2114328018251462e-05    -0.0001254384718813796    
Lambda        AB|PS|PS_r                            6132.408803660571    All      -5.118979161713653e-05     -1.2489369498779376e-05    -0.00020695041648895226    3.370754091000226e-06     
Lambda        AB|PS|PS_g                            4828.926472252961    All      -0.0003444663289906875     4.903747075035735e-06      -0.0018307594703668533     3.2102940920346674e-05    
Lambda        AB|PS|PS_i                            7427.675198101589    All      -6.491910589775249e-05     8.930004673541525e-07      -0.0003048641220872587     7.83248261861635e-06      
MWEBV         All|All|All                           All                  All      -0.723554628040239         -4.10293840552427          -0.13317669131878151       -1.1067195388256366       
Redshift      All|All|All                           All                  All      4.505286874027758          1.6765369574727629         5.6685010259819535         -0.6684577446239306       
