#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159     All      0.07819245793294816        0.13154038520646338        -0.11384190241796438       0.01229693375969189        
Zeropoint     AB|PS|PS_z                            8536.211206062804    All      0.383707034983807          -0.10425412587835581       0.11451559091983704        -0.1538346986664968        
Zeropoint     AB|PS|PS_r                            6132.408803660571    All      1.2064634802649072         -0.13734657085384683       -0.3529736579880908        -0.45347473689352524       
Zeropoint     AB|PS|PS_g                            4828.926472252961    All      -1.1667899937098922        1.2185836835527653         0.0746249207620581         0.780324850621192          
Zeropoint     AB|PS|PS_i                            7427.675198101589    All      0.4987120684762112         -0.11030432420415792       0.282586621194875          -0.1857661321096649        
Check         All|All|All                           All                  All      1.0002850479479817         0.9982190478228681         0.004911572470714942       -0.0004537832888031057     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159     All      1.1620497403325348e-05     1.8740673852545917e-05     -2.0250527314777497e-05    1.415587689607834e-06      
Lambda        AB|PS|PS_z                            8536.211206062804    All      0.00034628195628423955     -8.334786443153604e-05     0.00027372057679373195     -0.00012772967481922942    
Lambda        AB|PS|PS_r                            6132.408803660571    All      -0.00016429843495203959    -8.043845794978143e-06     -0.00042671819671398443    3.185478703819074e-05      
Lambda        AB|PS|PS_g                            4828.926472252961    All      -0.00037012145203532286    8.37746325349829e-05       -0.0012928505580687118     9.015490492341767e-05      
Lambda        AB|PS|PS_i                            7427.675198101589    All      -9.186978551166579e-05     -5.7164810433658464e-06    -0.00035820794872048475    1.2077790063059781e-05     
MWEBV         All|All|All                           All                  All      -0.7033989929376916        -4.104020713673862         0.07852885150505357        -1.1041899896025986        
Redshift      All|All|All                           All                  All      4.513598678091485          1.2633769697946384         3.9314348007350715         -0.8832622607805023        
