#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      3.034096588433993         -0.8428083124154995        0.27532119536131106        -1.250549152144949         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -2.03683622669793         1.84628065993806           -0.2775013407538829        1.2524753104080482         
Check         All|All|All                            All                  All      0.9972603617360637        1.0034723475225604         -0.0021801453925718306     0.0019261582630991647      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      0.0003448336217303624     -0.00013317425436684297    -0.00021431605324648945    -0.00016526683237523597    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -0.0004196786066680208    0.00014017394229283114     -0.0012360621569727918     0.00012720261676077508     
MWEBV         All|All|All                            All                  All      -0.49571119043068235      -2.9168485711634773        -0.011057634934363847      -0.7891375494198055        
Redshift      All|All|All                            All                  All      8.37999331874688          -1.8417876984267778        0.29894398455154736        -3.316229866869738         
