#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      3.059183335909759          -0.7886404652497347        0.5218546309095161        -1.2300748262947525       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -2.0613113572215758        1.7929947123754175         -0.5165936351266742       1.2324210884640519        
Check         All|All|All                            All                  All      0.9978719786881831         1.0043542471256828         0.005260995782841893      0.00234626216929934       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      -0.00020896329555113565    -5.3082102449803704e-05    -0.0007012613176041433    1.9481561104092604e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -0.00043342157148629754    -3.134426159207736e-05     -0.0019129551130245964    4.560340697389265e-05     
MWEBV         All|All|All                            All                  All      -0.49803593995500695       -2.9169509423308426        -0.014282723925809173     -0.788557568584258        
Redshift      All|All|All                            All                  All      6.9693003122711215         -0.9554195669991827        0.9383443635971145        -2.5394679809307816       
