#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7208.309204064906    All      0.7453441401759212         -0.30262586053204643      0.9690158437138718        -0.29811557984337694      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5134.522744861174    All      -0.021526804154921808      0.7930169259531716        -0.3432219997646868       0.25000726910108517       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5916.583781446995    All      1.1001921661510299         0.08889586441034325       -0.7130847601327428       -0.36123417390191287      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4151.813184902026    All      -0.8286478995816404        0.4122906415985561        0.09452763954940213       0.408432842931096         
Check         All|All|All                                All                  All      0.9953616025903887         0.9915775714300246        0.007236723365844355      -0.0009096417131086443    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7208.309204064906    All      -0.00048822188248678693    0.00013646452331482551    -0.0019899628110882682    0.00011467801325163509    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5134.522744861174    All      -0.00015204420308455842    0.00015979215713432356    -0.0011010986152968161    5.243838759713947e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5916.583781446995    All      -0.0003802004421765713     5.831763175686336e-05     -0.0013742593950200517    8.151287844159207e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4151.813184902026    All      -0.00042779818099994676    0.00015542538555778624    2.73971973666607e-05      0.00019119771420096597    
MWEBV         All|All|All                                All                  All      -0.783547526224118         -3.83587771205276         -0.006993981715974762     -0.9945564694865572       
Redshift      All|All|All                                All                  All      9.431604297845995          -1.4814230051714894       16.88969695779774         -2.801022416872702        
