#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7208.309204064906    All      0.8957154619237276         -0.46502503168994735      0.8864900832438682        -0.4036779648890114       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5134.522744861174    All      -0.18635752156609586       0.923078041789438         -0.3623514093053515       0.34520958315332273       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5916.583781446995    All      1.0724374093379554         0.20019639957613578       -0.8190417349097312       -0.3206676636626882       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4151.813184902026    All      -0.7863051039976197        0.33399829057820796       0.3031063929660723        0.3784459187010357        
Check         All|All|All                                All                  All      0.9954902456979672         0.9922477002538344        0.008203331994857843      -0.0006901266973411424    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7208.309204064906    All      -0.0005294374631507623     0.00023034674923525555    -0.0018185925685882164    0.00016633128028971736    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5134.522744861174    All      -0.00013102601261141112    0.00020952106999396844    -0.0008543281010600826    7.280264910754015e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5916.583781446995    All      -0.00026365382520932793    7.368504436667914e-05     -0.0009370058806850596    6.806809899744427e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4151.813184902026    All      -0.0005034037052108936     0.00015003937927282553    8.259802662275037e-05     0.00021653388082444171    
MWEBV         All|All|All                                All                  All      -0.7638967307709721        -3.8539812638922477       0.05490837349957516       -1.0040918846748645       
Redshift      All|All|All                                All                  All      9.112479789674342          -2.1409323968073934       13.82645078117124         -3.04859557962908         
