#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F110W_faint         6526.967135499978     All      1.9907942426240584        0.10266744558453667       1.018914820536343         -0.5695555265882876        
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    3699.5149595116677    All      -0.6732787187645708       0.3468569882546291        0.8175343787838796        0.36877456576957374        
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4495.644199687373     All      -0.3045930546542966       0.5457191360088487        -1.7018426997100988       0.2010292315318768         
Check         All|All|All                         All                   All      1.0129224692051912        0.9952435698480144        0.13460649961012372       0.000248270713162968       
Lambda        VEGAHST|NICMOS2|F110W_faint         6526.967135499978     All      -5.765802286432754e-05    5.29088076097242e-06      -0.0008355754397529738    -1.6783365348813504e-05    
Lambda        Linear_AB11_off|Knop|Bessell12_R    3699.5149595116677    All      -0.000678784728556222     0.00029395910220356906    0.0020250473383903425     0.00040722323000627625     
Lambda        Linear_AB11_off|Knop|Bessell12_I    4495.644199687373     All      -0.000719612787246789     -7.090259019398702e-05    -0.006002266222200483     -5.6547320973506236e-05    
MWEBV         All|All|All                         All                   All      -0.14291739950909021      -1.8103653167244715       0.00023570715265153197    -0.5431321255164392        
Redshift      All|All|All                         All                   All      4.224928492691914         0.3858479819394134        6.9104734961189624        -0.9421321308743332        
