#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint         6526.967135499978     All      1.8155626957723432        0.17538433059449687       1.0609046077260493        -0.486916753719667        
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    3699.5149595116677    All      -0.6486143055201781       0.28089510001869655       0.8849332560112135        0.3422623001994824        
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4495.644199687373     All      -0.16971904589545384      0.5421361011851644        -1.9359255359389793       0.14548317545829906       
Check         All|All|All                         All                   All      0.9972293443567112        0.9984155317983578        0.009912327798283549      0.0008287219381144795     
Lambda        VEGAHST|NICMOS2|F110W_faint         6526.967135499978     All      -7.991665428347725e-05    -8.179660347614837e-06    -0.0006387639690501576    -5.138003200002988e-06    
Lambda        Linear_AB11_off|Knop|Bessell12_R    3699.5149595116677    All      -0.000613938117238389     0.00021378078740589076    0.0017265320140369082     0.0003466624724975037     
Lambda        Linear_AB11_off|Knop|Bessell12_I    4495.644199687373     All      -0.0007172850727033918    -0.0001222666725878117    -0.005281474560186587     -4.187088424429393e-05    
MWEBV         All|All|All                         All                   All      -0.15994452911585078      -1.8051111704508571       -0.013567323314656883     -0.5364903467847278       
Redshift      All|All|All                         All                   All      4.21563852874227          0.7160833357069407        5.462750626460256         -0.8961427873649102       
