#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3010.866666571377    All      -0.2295918982134807       0.010924527881073232       0.01390467352397895        0.07896461445190198        
Zeropoint     AB|MEGACAMPSF|z           5422.758342014063    All      0.33302408837056674       0.024369376320620972       -0.1194418340925707        -0.10586913463212638       
Zeropoint     AB|MEGACAMPSF|r           3843.110869349198    All      -2.1016066734613252       0.13305957650224798        -2.3350792248292285        0.6237004547758856         
Zeropoint     AB|MEGACAMPSF|i           4693.495886773458    All      2.9768200155635753        0.8255957763431354         2.3660969999566683         -0.5951364658717838        
Check         All|All|All               All                  All      0.978645532259336         0.9939492570470776         -0.07451938544115189       0.0016594687238774553      
Lambda        AB|MEGACAMPSF|g           3010.866666571377    All      -0.0006315908464337427    2.5772269448693907e-05     -1.515080443296341e-05     0.00021344868263033245     
Lambda        AB|MEGACAMPSF|z           5422.758342014063    All      -2.941202094671345e-06    -2.3326891749231535e-05    -0.00034939285593454873    -2.2232088246773085e-05    
Lambda        AB|MEGACAMPSF|r           3843.110869349198    All      -0.0027032113551645103    4.8046902261440915e-05     -0.003787656910134017      0.0007271495963314628      
Lambda        AB|MEGACAMPSF|i           4693.495886773458    All      -0.0003430943212273472    -0.0001038292464939011     -0.0006211503868021635     5.021741750539078e-05      
MWEBV         All|All|All               All                  All      -0.21085325388125753      -2.014276627520317         0.544943530617481          -0.5631159967245815        
Redshift      All|All|All               All                  All      4.436894048894575         0.3068819165765291         5.3382303577872765         -1.1070601215964786        
