#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3010.866666571377    All      -0.25056414166055285       0.04667948486414275        0.40654005860902476       0.1149640438287075        
Zeropoint     AB|MEGACAMPSF|z           5422.758342014063    All      0.27217515479447557        0.018336997764123453       -0.17693778089326737      -0.09057935928753412      
Zeropoint     AB|MEGACAMPSF|r           3843.110869349198    All      -1.789593575887078         0.1438737980086202         -2.0977137170151243       0.5361826041252854        
Zeropoint     AB|MEGACAMPSF|i           4693.495886773458    All      2.754472638871132          0.7931710255181912         1.9038948409036405        -0.5538983778987432       
Check         All|All|All               All                  All      0.9864900761179763         1.0020613061550776         0.03578340160427351       0.006668910767715586      
Lambda        AB|MEGACAMPSF|g           3010.866666571377    All      -0.0008596641139271406     9.427763526086539e-05      0.0006683060947028491     0.000340553643049608      
Lambda        AB|MEGACAMPSF|z           5422.758342014063    All      -8.012233193055486e-06     -2.3985943952024363e-05    -0.0003345417296721997    -2.013222401435187e-05    
Lambda        AB|MEGACAMPSF|r           3843.110869349198    All      -0.002672204470787286      9.204136601686162e-05      -0.003904655532861804     0.0007261589670365082     
Lambda        AB|MEGACAMPSF|i           4693.495886773458    All      -0.00015372956447490678    -6.513109114458635e-05     -0.0006620207200123828    -6.835066160833854e-07    
MWEBV         All|All|All               All                  All      -0.2891938088377226        -2.015123656457618         0.5027514959710443        -0.5397566425641246       
Redshift      All|All|All               All                  All      4.5060649693610015         0.05988317637566354        4.526783128842052         -1.2462581447341945       
