#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7216.638739796504     All      0.8010268005038833         -0.1614315163481983        1.0809700328012317        -0.2652656098887013       
Zeropoint     AB|PS|PS_r                5958.173689673058     All      1.0713492787529908         0.055286031953905024       -1.7143737306305695       -0.40746985273468206      
Zeropoint     AB|PS|PS_g                4691.7261352780215    All      -1.1206066234250345        1.1602023387002447         0.426041918684672         0.7619468094413939        
Zeropoint     AB|PS|PS_z                8293.678821134057     All      0.24752124590512967        -0.055505925789400834      0.21494957963601458       -0.08911370660729528      
Check         All|All|All               All                   All      0.9992907017369694         0.9985509285165506         0.007587800491348773      9.76402107152885e-05      
Lambda        AB|PS|PS_i                7216.638739796504     All      -0.0004768650978889246     5.300539657540546e-05      -0.001777231228179719     9.328658508264122e-05     
Lambda        AB|PS|PS_r                5958.173689673058     All      -0.00028023114041901987    -2.1941973434333796e-05    -0.0007209040178606884    5.1962643823378414e-05    
Lambda        AB|PS|PS_g                4691.7261352780215    All      -0.00013704503441151782    -0.00015581813303802526    -0.001112836456869693     -5.577579583636983e-05    
Lambda        AB|PS|PS_z                8293.678821134057     All      0.00020003628069186754     -4.4330814928019296e-05    0.00012136287752974697    -7.418253465743046e-05    
MWEBV         All|All|All               All                   All      -0.7007446597810629        -3.944949587944535         0.1340975776978004        -1.0507601172699914       
Redshift      All|All|All               All                   All      7.956745102862783          0.5396468321288594         18.10932781402217         -1.6078567948576177       
