#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4692.443040872722    All      -0.7986798375608628        0.6013825167303644         -0.15758654063570265       0.44901400593620067        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6185.670352437426    All      1.1016711022810401         -0.1277234903297675        0.2314240767846011         -0.390126871039517         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7506.165312789227    All      0.3587824875033373         -0.06320151351957293       0.151069127664677          -0.13071255066216597       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5461.593238871277    All      0.6212567186529894         0.09652573394474118        -0.19990592769610016       -0.17984302827446708       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4358.171620656077    All      -0.6621366479590887        0.4122254154887539         0.05586981774958724        0.352448282892357          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5450.817551877412    All      0.3769990076253292         0.07811086126983113        -0.07844578144053765       -0.10085837733317644       
Check         All|All|All                           All                  All      0.9978928305427442         0.9973195235843502         0.0024247724265248904      -7.853848076878889e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4692.443040872722    All      -0.00015353499364651873    -8.006214762015021e-05     -0.001297501143137232      -3.396899367538512e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6185.670352437426    All      -0.0002060849597517392     9.580836488588533e-06      -0.00023314494900158916    5.984525675150164e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7506.165312789227    All      -5.775174669512108e-05     1.970006618822282e-06      -0.00011690928356199017    1.4236215461221729e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5461.593238871277    All      1.535594690906089e-05      -2.0300719980881475e-05    -0.0007968929988913003     -4.717622401890896e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4358.171620656077    All      -0.00018005846354677473    6.02046399702341e-05       -0.00031604501134626804    6.415795992266127e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5450.817551877412    All      4.7175947607588665e-05     6.440496110309147e-06      -6.0367071714707963e-05    -1.5962781863907006e-05    
MWEBV         All|All|All                           All                  All      -0.8993196921947137        -4.081975821627459         0.02696076839725905        -1.035492672365577         
Redshift      All|All|All                           All                  All      4.324661600284567          0.6822188143782881         4.459663968366471          -0.9874491277654959        
