#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6250.556061056054     All      1.0927453176242252         -0.0046767293262917065     -0.23406854327093737      -0.36791186885297567      
Zeropoint     AB|SDSS|SDSS_g            3944.5554547237257    All      -1.0989319575017467        0.5699695928985449         -0.35759452283438997      0.5276583390136743        
Zeropoint     AB|SDSS|SDSS_z            7431.39011866408      All      0.07780639189632453        -0.00038755524869316105    0.039830009655250694      -0.02369291069128611      
Zeropoint     AB|SDSS|SDSS_r            5154.354780693329     All      0.9267481291373414         0.433660269099434          0.55235305610934          -0.13596595809476478      
Check         All|All|All               All                   All      0.9983678811561444         0.998565577422994          0.0005199996592634148     8.760137464777773e-05     
Lambda        AB|SDSS|SDSS_i            6250.556061056054     All      -0.00023915499915467788    -5.6220584182416836e-06    -2.45670325211999e-05     7.497304797427747e-05     
Lambda        AB|SDSS|SDSS_g            3944.5554547237257    All      -0.0010696490925210212     0.00037944495536359915     -0.0018132498087779102    0.00039110059416353317    
Lambda        AB|SDSS|SDSS_z            7431.39011866408      All      -1.6001722634017026e-05    3.0962634496492985e-07     -5.42957491722475e-06     5.070845998476275e-06     
Lambda        AB|SDSS|SDSS_r            5154.354780693329     All      0.0002399760733766122      0.0001006802475526068      2.5505159154171345e-05    -4.423505505533678e-05    
MWEBV         All|All|All               All                   All      -0.5728994631189903        -3.2304877871343507        0.11725909661222068       -0.860431214260419        
Redshift      All|All|All               All                   All      4.650753421394817          0.06086673182217339        -6.005335613577784        -1.763067644505798        
