#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6250.556061056054     All      0.9818900478189068         0.017718044034431557      -0.12022802997485593      -0.3194277667397494       
Zeropoint     AB|SDSS|SDSS_g            3944.5554547237257    All      -1.0609861321851666        0.5253722384416903        -0.5714025339341955       0.4912300402208053        
Zeropoint     AB|SDSS|SDSS_z            7431.39011866408      All      0.06170932345011189        0.0014760783553668944     0.039929834832397315      -0.01783806440479041      
Zeropoint     AB|SDSS|SDSS_r            5154.354780693329     All      1.0156203346343968         0.4532726305761514        0.6462756566116279        -0.1543348335838607       
Check         All|All|All               All                   All      0.9982335737182488         0.9978389914076402        -0.005425072465026215     -0.0003706245075951742    
Lambda        AB|SDSS|SDSS_i            6250.556061056054     All      -0.00014190320390017268    4.405549866472035e-07     0.00012334298957559478    5.187027637090436e-05     
Lambda        AB|SDSS|SDSS_g            3944.5554547237257    All      -0.000903078178451225      0.00033476470045085447    -0.0016252401686001397    0.00033067914521298385    
Lambda        AB|SDSS|SDSS_z            7431.39011866408      All      -1.470434126052054e-05     8.63506272905696e-07      8.397761974160027e-06     5.445713655988977e-06     
Lambda        AB|SDSS|SDSS_r            5154.354780693329     All      0.00011538842306160497     7.465549245870586e-05     -0.0002779458183944502    -2.567150088695075e-05    
MWEBV         All|All|All               All                   All      -0.5829750366294486        -3.228138190710972        0.09599465943282981       -0.857332861804308        
Redshift      All|All|All               All                   All      4.757595010612796          0.44850455094653796       -4.849334658807269        -1.6200160612126562       
