#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6063.887548445656    All      1.0894788868048477         -0.10617688637761802      -0.2036303191649795        -0.3985515071361785        
Zeropoint     AB|CNIa02|SDSS_i                      7353.523512093383    All      0.5744021537127377         -0.09879056618613546      0.06040264612622855        -0.2165855235764104        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5378.045230104794    All      0.6268131861399558         0.2635239773850273        0.5370328341678388         -0.09436993826512528       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4298.816199254454    All      -0.5811736452998848        0.38068678838785175       0.14317479820787213        0.3196988211863893         
Zeropoint     AB|CNIa02|SDSS_g                      4640.608131137438    All      -0.7109841284990803        0.5578951840774948        -0.5362664327164496        0.3893846290861308         
Check         All|All|All                           All                  All      0.998536452858576          0.9971384972866204        0.0007135266205103852      -0.0004235187051940259     
Lambda        AB|CNIa02|SDSS_r                      6063.887548445656    All      -7.32294896080106e-05      -2.870892548531987e-05    -0.0002972447416208701     1.2371447949939828e-06     
Lambda        AB|CNIa02|SDSS_i                      7353.523512093383    All      -9.167240910746168e-05     -7.603566726338985e-05    -0.0007041120889085627     -2.6327887405993903e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5378.045230104794    All      9.503511393924095e-05      -8.250340135747305e-06    -0.0005933657030321965     -6.0122656478957395e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4298.816199254454    All      -0.00029497465863160876    0.00011020643043475107    -0.0003411601152202221     0.00011675640172025713     
Lambda        AB|CNIa02|SDSS_g                      4640.608131137438    All      -0.0001741548694410614     1.7320112115791826e-05    -0.00030510476431015374    4.8754276497186374e-05     
MWEBV         All|All|All                           All                  All      -0.8464644602110973        -4.0242475227112          0.004964373446580845       -1.0348869522273358        
Redshift      All|All|All                           All                  All      4.304862272924355          0.06697668968902448       1.5734405437522136         -1.31020333183755          
