#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6063.887548445656    All      1.0755583634097077         -0.09359084366087345       -0.20077025689617667       -0.389789815070149         
Zeropoint     AB|CNIa02|SDSS_i                      7353.523512093383    All      0.49577891641275496        -0.07627677679096223       0.06575375717313703        -0.18340307116319135       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5378.045230104794    All      0.6955445635607246         0.257665348229974          0.5472954775568861         -0.11820838270536066       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4298.816199254454    All      -0.6043430366592534        0.3896998796135698         0.13433098490914785        0.3297870557672236         
Zeropoint     AB|CNIa02|SDSS_g                      4640.608131137438    All      -0.6652224264347719        0.5200151745602177         -0.5464251763922512        0.361686433820603          
Check         All|All|All                           All                  All      0.997316380289162          0.9975127819519258         0.00018478635074314909     7.222064912559834e-05      
Lambda        AB|CNIa02|SDSS_r                      6063.887548445656    All      -0.0001301925735605924     -3.6332210260067214e-05    -0.00040817182659721904    1.2358574285572038e-05     
Lambda        AB|CNIa02|SDSS_i                      7353.523512093383    All      -8.804080294022896e-05     -7.25382091087779e-05      -0.000686378074298317      -2.5580196204370814e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5378.045230104794    All      -2.005630964051886e-06     8.057249411964988e-06      -0.0005850636609364433     -2.2830892889992137e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4298.816199254454    All      -0.00028130607712209934    8.521161065169103e-05      -0.0003601547878061514     0.00010331481493301226     
Lambda        AB|CNIa02|SDSS_g                      4640.608131137438    All      -4.213503041647934e-05     -5.5421937877683654e-05    -0.0003586896199955357     -2.033465322494876e-05     
MWEBV         All|All|All                           All                  All      -0.8439398039325421        -4.023109354428289         0.008813091065007495       -1.0351668263908278        
Redshift      All|All|All                           All                  All      4.536488445055265          0.346812268331842          1.2150023034820046         -1.3104953945102242        
