#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5450.899162055823    All      -0.021861793219258407      1.301499707195397         -0.7802547163299312        0.39624319357571824       
Zeropoint     AB|PS|PS_z                7587.561103637522    All      0.7896333807271251         -0.18548970322918024      0.18129224108747177        -0.3095394289665543       
Zeropoint     AB|PS|PS_g                4292.276021376895    All      -0.7978313603404258        0.5793197648694459        0.21469681904664473        0.45816436137435246       
Zeropoint     AB|PS|PS_i                6602.219423008276    All      1.0330409963613338         -0.62571907851936         0.2879372698840088         -0.5274634100672915       
Check         All|All|All               All                  All      1.0029812235287747         1.0696106903163027        -0.09632838631180585       0.017404715916224944      
Lambda        AB|PS|PS_r                5450.899162055823    All      -1.1945409975251415e-06    0.0006946449792015408     -0.0013357130352026404     0.00016705108611606       
Lambda        AB|PS|PS_z                7587.561103637522    All      2.899761071536834e-05      -5.936397842298227e-05    -0.00029390984367347957    -4.189812303635743e-05    
Lambda        AB|PS|PS_g                4292.276021376895    All      -0.000845336528421278      0.0004426058767799364     0.00013527467702360485     0.00042556190096203526    
Lambda        AB|PS|PS_i                6602.219423008276    All      -0.0003048684340487947     4.662557967757784e-05     -0.0003200090000764328     0.00010021263215501671    
MWEBV         All|All|All               All                  All      -0.527829614898581         -3.5124325600035533       0.09106500663105255        -0.9681195567415368       
Redshift      All|All|All               All                  All      4.945187539770441          -2.582515784256856        6.055639623987263          -2.181785242847245        
