#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5450.899162055823    All      0.5700255524135007         1.282487995994508         0.0489800425565406         0.23425821153461018       
Zeropoint     AB|PS|PS_z                7587.561103637522    All      0.48647494127897917        -0.06355897239860298      0.27312244619984444        -0.16697594089518028      
Zeropoint     AB|PS|PS_g                4292.276021376895    All      -0.9442387145643285        0.45751103123965464       -0.07781731588192471       0.4531233789994005        
Zeropoint     AB|PS|PS_i                6602.219423008276    All      0.8897101144275938         -0.674378846833612        -0.2507488609119453        -0.5206650016958119       
Check         All|All|All               All                  All      1.0019718935557451         1.0020612080019475        -0.0064636880374849826     -0.0002593520569814656    
Lambda        AB|PS|PS_r                5450.899162055823    All      0.00011634890057372226     0.0005484416064975237     -0.0012617448382101135     8.444093260228533e-05     
Lambda        AB|PS|PS_z                7587.561103637522    All      -4.2676781953759125e-05    -1.720893283334825e-05    -0.0002538562631217933     -3.032722777613946e-06    
Lambda        AB|PS|PS_g                4292.276021376895    All      -0.0006828379466013236     0.00034611675120629215    -0.00023770848540046968    0.0003245565587321666     
Lambda        AB|PS|PS_i                6602.219423008276    All      -0.0004021469107713104     0.00016599148906790354    -0.0005398185485708784     0.00016097174550000118    
MWEBV         All|All|All               All                  All      -0.5546637683006472        -3.4993253708108796       0.04718095142495268        -0.9570676912589622       
Redshift      All|All|All               All                  All      4.761772282680344          -2.1779065868452463       7.599503043325818          -1.9213507988892358       
