#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4956.743734788153    All      0.8230399606056684         0.4574928688294122         0.37308115478068965        -0.102421815495538         
Zeropoint     AB|SDSS|SDSS_i            6010.918129002786    All      1.1684803604732907         0.0708014922976119         -0.2321797852032702        -0.3679112373773703        
Zeropoint     AB|SDSS|SDSS_z            7146.480593347885    All      0.11397297243884544        0.005564829046456055       0.1559613141287797         -0.028352261679722008      
Zeropoint     AB|SDSS|SDSS_g            3793.326491603327    All      -1.1073984419968395        0.4648559178919598         -0.29368160437396024       0.4990293094754289         
Check         All|All|All               All                  All      0.9980948515209649         0.99871510806544           0.003181079332238934       0.0003439949227986294      
Lambda        AB|SDSS|SDSS_r            4956.743734788153    All      -0.00015312776696934705    -7.912576927782802e-05     -0.001180336220891078      -2.8568099208651038e-05    
Lambda        AB|SDSS|SDSS_i            6010.918129002786    All      -0.00019867976301782614    -1.9341551225847607e-05    -0.00020623331950944023    4.921310977823623e-05      
Lambda        AB|SDSS|SDSS_z            7146.480593347885    All      -3.9101565185336876e-05    -2.440827267234106e-06     -7.055587012252074e-05     8.793024010201117e-06      
Lambda        AB|SDSS|SDSS_g            3793.326491603327    All      -0.0016789041342012948     0.0005180745899768878      -0.001825993398717198      0.0006341425500175656      
MWEBV         All|All|All               All                  All      -0.5478870129927649        -3.0457099502195106        0.11281243112635703        -0.8085888059161026        
Redshift      All|All|All               All                  All      5.104313034748041          0.4594852515207748         7.546739917612931          -1.1761968776919527        
