#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4956.743734788153    All      0.8049492822667587         0.4744446633113242         0.5578643207203804        -0.08276130521717995       
Zeropoint     AB|SDSS|SDSS_i            6010.918129002786    All      1.11789707481273           0.08630521765713439        0.0875847097608684        -0.3321149029050022        
Zeropoint     AB|SDSS|SDSS_z            7146.480593347885    All      0.12816516611155           0.009073329071895841       0.22376180204579654       -0.02880666780435831       
Zeropoint     AB|SDSS|SDSS_g            3793.326491603327    All      -1.05150900245809          0.42885090800357517        -0.8659019677238255       0.44356069735618925        
Check         All|All|All               All                  All      0.9995025207329488         0.9986741180439296         0.003308864803219791      -0.0001221785703511835     
Lambda        AB|SDSS|SDSS_r            4956.743734788153    All      -0.00022351740590181895    -2.1413230542767944e-05    -0.0011350288947631127    1.518085237019692e-05      
Lambda        AB|SDSS|SDSS_i            6010.918129002786    All      5.4449788223789265e-05     -9.060647536436958e-06     5.6279531230893e-05       -1.8175941362082697e-05    
Lambda        AB|SDSS|SDSS_z            7146.480593347885    All      -4.199454891847145e-05     -3.0725033525424036e-06    -8.54628417597206e-05     8.8643766269861e-06        
Lambda        AB|SDSS|SDSS_g            3793.326491603327    All      -0.001514653664288764      0.0007450562859364865      -0.0002084359081147029    0.0007267603357698815      
MWEBV         All|All|All               All                  All      -0.5530061784904059        -3.0538003195481167        0.030192179232391148      -0.8132435871344864        
Redshift      All|All|All               All                  All      4.064070634735447          -0.3791699838822993        2.5885848951858748        -1.3317929928264762        
