#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7481.160309580512    All      0.2350148830803604         -0.04672388981656894       0.01518956732152743        -0.09109374663644303       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6241.722441229258    All      0.5508995996351972         -0.029685402008627904      0.13130115140367327        -0.18325626837183123       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7733.635932467364    All      0.1530512031315689         -0.022091604521357056      0.08242402779244928        -0.05337156867927049       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6140.540104620973    All      0.6622194189255733         -0.07686438027310061       -0.2644103601768588        -0.2525433285156038        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4365.878209513934    All      -0.43535412992179334       0.31778680954230865        0.013378442545119995       0.24591980003022262        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5328.876256561305    All      0.25086327213294807        0.19280969542831983        -0.17611583205546788       -0.026769200552517053      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4308.968876385954    All      -0.624403491172357         0.46592239605676156        0.16327310777808357        0.36244114104062414        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5280.125984898923    All      0.19332856216601277        0.19773570086503156        0.01982166342386904        0.0023200998658269925      
Check         All|All|All                                All                  All      0.9856193179775105         0.9988893252727671         -0.01513823196760411       0.003646928181008098       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7481.160309580512    All      -7.861899599543727e-05     6.00587901929446e-06       -7.786234562718079e-05     2.4090466991468395e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6241.722441229258    All      -0.00014775293207987603    -3.999816189602337e-06     -0.00014033457326982626    4.056263171084934e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7733.635932467364    All      -2.6320667614362365e-05    4.804076541804549e-06      -3.1719003666026495e-06    9.996805799981222e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6140.540104620973    All      -0.00016999629882991896    -1.1394952723408592e-05    -0.0002854111525498714     3.8925087363901626e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4365.878209513934    All      -0.00014547545449200577    5.8156209255209525e-05     -0.00028565392908395563    5.3582109271242136e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5328.876256561305    All      7.209471346172994e-06      1.4605305041857083e-06     -0.0006356984538283865     -3.0240921503738193e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4308.968876385954    All      -0.000266056250936336      8.060873118878305e-05      -0.0005621273981133581     8.783502559726025e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5280.125984898923    All      2.8566751801769107e-05     4.5204004416884985e-05     -0.00019016801656129698    -3.0670246429256713e-06    
MWEBV         All|All|All                                All                  All      -0.8433824518737714        -4.001984497403743         0.04086465120162197        -1.027036999451254         
Redshift      All|All|All                                All                  All      4.895387786733701          0.15503736838038407        0.33613879338341146        -1.5290877536351106        
