#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7481.160309580512    All      0.27406212661398716        -0.05397178627202237      0.03614025064606482        -0.10523866402198653      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6241.722441229258    All      0.5829416691178851         -0.032715739568267566     0.14651095137951428        -0.1940017616765991       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7733.635932467364    All      0.18190745767892527        -0.02939762376641397      0.08067578040393822        -0.06522882720846897      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6140.540104620973    All      0.6682755751010109         -0.06589666331899835      -0.129258980573809         -0.2449122862405932       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4365.878209513934    All      -0.47429436469691255       0.3218161853470569        -0.10889695059117148       0.2544598266491788        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5328.876256561305    All      0.22979961683110106        0.1995298151094005        -0.0946239682408704        -0.014082503378078117     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4308.968876385954    All      -0.6419205505503252        0.4564142627434542        0.036930107267600175       0.35941180390535526       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5280.125984898923    All      0.17599521312782127        0.20101972622015296       0.03276492766380289        0.009613455433965043      
Check         All|All|All                                All                  All      0.996766743223493          0.9967981764943623        0.0002421179550695443      2.1043462773226093e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7481.160309580512    All      -7.337922605688636e-05     2.6661004444506098e-06    -0.00010027842945667952    2.0295498913932206e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6241.722441229258    All      -0.0001443226055883474     6.403646101040891e-07     -0.00012064445221756853    4.1835400731154594e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7733.635932467364    All      -3.0642204383666406e-05    5.658089005415578e-06     -7.271332634925724e-06     1.1499713621530019e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6140.540104620973    All      -0.00012944799250057308    -9.12993074841056e-06     -0.00019339957777461615    3.056101615538766e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4365.878209513934    All      -0.00020334625566692229    7.314631146461706e-05     -0.0003578293969686699     7.409444291427738e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5328.876256561305    All      3.001949828310049e-05      4.15238044468942e-06      -0.0005590536991154075     -3.337377023362277e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4308.968876385954    All      -0.00028190105379537607    9.160358172147852e-05     -0.0005250391925574802     9.82326599793094e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5280.125984898923    All      5.079323912033517e-05      4.48220310716365e-05      -0.00017962942158739146    -9.961054985723553e-06    
MWEBV         All|All|All                                All                  All      -0.8398291103049362        -4.005344040619896        0.029577173999717325       -1.029792461718892        
Redshift      All|All|All                                All                  All      5.153032298836364          0.05251425581098701       0.7876695831093644         -1.626256452814135        
