#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|LCOGT|LCOGT_r 5856.213614513264 All 0.05400137221738747 0.13126073604257904 -0.954528458533924 -0.017430304558291865
Zeropoint Linear_AB11_off|LCOGT|LCOGT_i 7106.377319351041 All 1.8313102578086546 -0.010620578403498726 0.14044031859143224 -0.5937102646791945
Zeropoint Linear_AB11_off|LCOGT|LCOGT_g 4442.517505068557 All -0.7292370667514187 1.2256339566263428 0.8677213577809062 0.6754882245582234
Zeropoint Linear_AB11_off|LCOGT|LCOGT_B 4126.0498094947 All -0.09205159078928354 0.14678706796013152 0.963651552777484 0.12080095162212717
Zeropoint Linear_AB11_off|LCOGT|LCOGT_V 5170.701776858892 All -0.00020233960792741257 0.010639942788012391 0.1765621289794237 0.011410844972677803
Check All|All|All All All 1.063820632877412 1.503701125013567 1.1938468995953222 0.19655945191554203
