#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5856.213614513264    All      0.5056628792103893         -0.01870413719124997      0.04654407894549846        -0.1687265399303277       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7106.377319351041    All      0.9288975048915719         -0.05750497579768421      1.1044145227619835         -0.27201879187976036      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4442.517505068557    All      -1.0754378442233348        0.7283837294712825        0.5677675639090582         0.6129008892345793        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4126.0498094947      All      -0.2776977539885233        0.149523985563782         0.5162707411045414         0.16219896777968323       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5170.701776858892    All      0.9216569055691928         0.19662659406209926       -2.1931488434669872        -0.33403638536223806      
Check         All|All|All                      All                  All      1.0030816914592957         0.9983251961082296        0.04184806325409429        0.00031813984193640454    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5856.213614513264    All      -2.561240527042229e-05     4.1156261772110327e-07    -1.5782663180049605e-05    7.772554733705733e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7106.377319351041    All      -0.0005570593381650993     4.20541099327384e-05      -0.0005955785738645339     0.00016857302393433115    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4442.517505068557    All      -0.0003800170500603331     2.85021694599934e-05      -0.0016488452864645091     5.948775741846539e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4126.0498094947      All      -0.00020572446020003065    8.422999264758752e-05     5.6961203607271314e-05     9.698962141427177e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5170.701776858892    All      0.0004515949736740379      5.731520983506128e-05     -0.00041568942644011896    -0.0001469802004108381    
MWEBV         All|All|All                      All                  All      -0.7253791230450375        -3.8180111411023177       0.056613018111227854       -1.0048456138684176       
Redshift      All|All|All                      All                  All      6.414209760127518          -0.3407473055174748       -1.219924397194376         -2.2547513707037856       
