#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6330.406126644453    All      2.9541897360585274       -0.9402353468484392        0.4948132040790393        -1.2464611315791982       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5286.347306679       All      -1.9564862662653595      1.9446792861160134         -0.48970410114587204      1.2488847200405175        
Check         All|All|All                            All                  All      0.9977034697931677       1.0044439392675741         0.005109102933167242      0.0024235884613192926     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6330.406126644453    All      -0.000903471264967124    0.00024952104557770486     -0.0003464933213367238    0.0003601051223197713     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5286.347306679       All      -8.44076649729627e-05    -0.00021741697707581997    -0.0017279954717327728    -0.0001204380103355854    
MWEBV         All|All|All                            All                  All      -0.5410704150497874      -3.0314404370818337        -0.0033489486225689313    -0.8113448951118367       
Redshift      All|All|All                            All                  All      3.0644362958020803       1.5338730729645533         2.376763427381235         -0.39249076002811006      
