#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6330.406126644453    All      2.9618227191446795        -0.9637650796356922        0.43081034448044925       -1.2594680070314497       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5286.347306679       All      -1.9648474808085827       1.9681419578933657         -0.42896487991777865      1.2619613192681476        
Check         All|All|All                            All                  All      0.9969752383360966        1.0043768782576734         0.0018454645626705957     0.002493312236697909      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6330.406126644453    All      -0.0008223345141032058    0.0001969710158394183      -0.0005563728557609242    0.0003071929800336735     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5286.347306679       All      -0.0001365370256826155    -0.00010845844356374906    -0.0014939886305676282    -5.752373298661194e-05    
MWEBV         All|All|All                            All                  All      -0.5410316879974499       -3.031666156176982         -0.0060326857659116565    -0.811550796784841        
Redshift      All|All|All                            All                  All      2.935053114601983         1.1841445924456906         1.6835653648640618        -0.4951987189478554       
