#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.412179900018    All      0.6411749764143415         0.18327400060433874       -0.19358781061131305       -0.15779234718689014       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.286626552401    All      -0.7190470806476603        0.4322762686766346        -0.08425966900062044       0.37126377025120844        
Zeropoint     AB|CNIa02|SDSS_r                      6102.637188886528    All      1.1939814103450384         -0.11025983486963042      -0.10629891154175586       -0.429577914037749         
Zeropoint     AB|CNIa02|SDSS_i                      7400.514223875325    All      0.4511556688466804         -0.06663047343300477      0.26963585490065767        -0.1566273713870668        
Zeropoint     AB|CNIa02|SDSS_g                      4670.262687735319    All      -0.5684426303561743        0.5584812694286789        0.11560088251019135        0.3722349253057816         
Check         All|All|All                           All                  All      0.9988223446022256         0.9971412304070171        0.0010903462571596467      -0.0004989370547158756     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.412179900018    All      4.754727833502232e-05      -8.450940553775028e-06    -0.0008692755260263252     -5.7032236467232546e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.286626552401    All      -0.0002478479250345931     7.159963628621487e-05     -0.00045863931106440573    8.358761423615127e-05      
Lambda        AB|CNIa02|SDSS_r                      6102.637188886528    All      -0.00012637145268810777    -3.149108210079929e-05    -0.0007347168895513495     -1.881382176295247e-06     
Lambda        AB|CNIa02|SDSS_i                      7400.514223875325    All      -7.396890829994843e-05     -9.278144237325825e-06    -0.00036946301202875847    4.584472773512279e-06      
Lambda        AB|CNIa02|SDSS_g                      4670.262687735319    All      -5.586387582682988e-05     -2.673648920735302e-05    -0.00025092075082395896    -1.7096925874285095e-06    
MWEBV         All|All|All                           All                  All      -0.8840691353151446        -4.047569676928386        0.03567761750057065        -1.028864074272203         
Redshift      All|All|All                           All                  All      4.71540516913654           0.23188040488575368       6.042441894044205          -1.1907850895005638        
