#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.412179900018    All      0.13495330292041224       0.38110638511348327        -1.080898017890708         0.031944642912717924       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.286626552401    All      -0.8469584531817193       0.7307295271131942         0.47728507065265546        0.5352039201870773         
Zeropoint     AB|CNIa02|SDSS_r                      6102.637188886528    All      1.1243170682338652        -0.1458896723781855        -0.9129944707944038        -0.45449087397748666       
Zeropoint     AB|CNIa02|SDSS_i                      7400.514223875325    All      0.7043434018913237        -0.09111758187865249       1.442201051892722          -0.1947490031467991        
Zeropoint     AB|CNIa02|SDSS_g                      4670.262687735319    All      -0.11920372717056268      0.12270622907237794        0.07672585811797639        0.082221954008177          
Check         All|All|All                           All                  All      0.9974515926933192        0.9975348870422174         0.0023194919782421053      0.00013063998368645358     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.412179900018    All      -4.083571968822247e-05    0.0002101937175314597      -0.0012897751952983005     2.4211803082675887e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.286626552401    All      -0.0006459266764835373    0.0004933177182044432      3.26643754429895e-05       0.0003725470404311629      
Lambda        AB|CNIa02|SDSS_r                      6102.637188886528    All      7.19231187778878e-05      -0.00012995036670358006    -0.002094682269033804      -0.00015923288480100946    
Lambda        AB|CNIa02|SDSS_i                      7400.514223875325    All      -0.0001279899523807222    -3.9772978111622564e-05    -0.0010434334638915208     -1.782847240522435e-05     
Lambda        AB|CNIa02|SDSS_g                      4670.262687735319    All      -6.86836836017854e-05     7.105816185972165e-05      -2.8608043472603492e-05    4.4241870848781886e-05     
MWEBV         All|All|All                           All                  All      -0.8503527711294367       -4.053081709770812         0.17246738101039938        -1.0355377548674105        
Redshift      All|All|All                           All                  All      5.284405022920277         -2.7742297403463567        11.865627225636244         -2.0954540173793057        
