#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|DECam|DECam_z          6876.052010959443    All      0.7265419319432302         -0.055211143357425385     0.4387111862238613         -0.23506503022409989     
Zeropoint     AB|DECam|DECam_i          5867.674911111155    All      0.9904731715695628         0.09124526318089465       -0.7774786911913578        -0.32760341663905024     
Zeropoint     AB|DECam|DECam_r          4829.858577805817    All      -0.25411606266433684       0.6861741111489295        0.3979308101936141         0.3240412686676845       
Zeropoint     AB|DECam|DECam_g          3634.001964551986    All      -0.4706862777979861        0.27776670384120905       -0.060099330065266354      0.24111380241702077      
Check         All|All|All               All                  All      0.99221276305047           0.9999749348136078        -0.0009360248391487858     0.0024866242215551837    
Lambda        AB|DECam|DECam_z          6876.052010959443    All      -0.0006148500222810297     2.4693532995431016e-05    -0.0005990517744167192     0.0001815874469646157    
Lambda        AB|DECam|DECam_i          5867.674911111155    All      -8.709616083258412e-05     3.217662819717463e-05     0.0005233612414955175      6.22062798419038e-05     
Lambda        AB|DECam|DECam_r          4829.858577805817    All      -0.00019094670277923885    5.106511802203406e-05     -0.000764937680576458      4.469555653495055e-05    
Lambda        AB|DECam|DECam_g          3634.001964551986    All      -0.001003715192519211      0.0005456760420938947     -0.00041769421712475896    0.0004860479240609165    
MWEBV         All|All|All               All                  All      -0.4492602655538196        -2.772434030487858        0.015373928467277143       -0.7560480575680851      
Redshift      All|All|All               All                  All      5.977320368290346          -0.361371051090309        6.84873328078075           -1.7590928208187924      
