#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B                  4405.130380714414     All      -0.3293417634282627        0.14630413461800273        -0.8473579087993365        0.11711982558330826        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V                  5396.323516904974     All      0.24182537891940847        0.09191861246273803        -0.6646370355962952        -0.07848926395223547       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5369.155947133756     All      0.07584336771619317        0.012568942770752045       -0.38779540521613676       -0.03791608972640126       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B       4388.947872364775     All      -0.12090975140371096       0.3326670396535114         1.2783870654954912         0.20479342639417092        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4359.139266174526     All      -0.1517782504037456        0.020668957343206174       -0.678951482410372         0.025873242559195708       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V       5373.631234087813     All      0.3417010509042053         0.2338545587762475         1.0954000649791908         0.013753523379215432       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R       6337.801353815923     All      0.41733359062890124        0.035037160777839915       0.5226154504367673         -0.10120459711440528       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U         3650.598414849018     All      -0.06266834111610643       0.022225479224058375       -0.050814084582733156      0.02538511099424442        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I                  8300.127102456376     All      0.12178896978277523        -0.010183355785908788      0.09286171753757062        -0.03884373624300874       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V         5383.051191829192     All      -0.010703777842446933      0.0034432380034754573      -0.2805799180494822        -0.00791284460158198       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R                  6850.6848808214245    All      0.35995454474696903        -0.01456041485390358       0.1343305600299992         -0.1159972875820074        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8228.975005222153     All      0.01826690592934511        -0.003523442261244014      -0.002815564979430599      -0.007223479020446619      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8216.787686743213     All      0.12179203811645715        -0.011194072191322846      0.07727368752199498        -0.039869581471422375      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R         6360.716797335136     All      0.06996178905734646        -0.04402315647329402       -0.419664236271859         -0.0558563341693437        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6517.890309661113     All      0.20098534994056638        -0.01483493042950812       -0.043421781087892665      -0.07223748025378365       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U       3655.0722536468684    All      -0.17261615145806733       0.1501732968867131         0.3700069101281488         0.12165485180206412        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B         4361.572259663182     All      -0.05743448883117233       0.03021105341813879        -0.03455099566595358       0.02700718431370537        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3622.4671494553327    All      -0.06833850898515105       0.01569703364046049        -0.15893575607240912       0.020280568092407653       
Check         All|All|All                                     All                   All      0.9956619522735042         0.9964501355799626         0.001351287397262313       0.00031703898367535857     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B                  4405.130380714414     All      -0.00015309333041779407    -1.0771974759277552e-05    -0.0009602885893751242     3.5054784736561912e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V                  5396.323516904974     All      4.561547706303983e-05      -1.9768633537592932e-05    -0.0005406312676342969     -4.542364634088972e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5369.155947133756     All      2.817527248965016e-05      -1.757460043806947e-06     -0.0002502026790360341     -2.091547216983511e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B       4388.947872364775     All      6.7662911546283805e-06     -1.1619047548841612e-05    -3.7391572005918754e-05    -7.657323800742952e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4359.139266174526     All      -0.00011195131679249144    1.497735471479958e-05      -0.0005052685880898171     1.8797027667422173e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V       5373.631234087813     All      4.8657251633953575e-05     3.1437565388343196e-05     0.00016668499201043157     1.8293673159018721e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R       6337.801353815923     All      -0.00011715266858072161    -1.1053652619999431e-05    -0.00016202013219109336    2.732972568421576e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U         3650.598414849018     All      -5.879020792413101e-05     2.0504010441694593e-05     -5.0000067453952284e-05    2.3597462255581155e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I                  8300.127102456376     All      -1.2230618070080772e-05    3.697646045361983e-06      1.2850189905038203e-05     5.761804603398368e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V         5383.051191829192     All      -1.3335333146278214e-07    2.0724000609995112e-07     -7.354133373963344e-06     -2.1723874093493328e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R                  6850.6848808214245    All      -7.797371546158148e-05     -1.7192326605477627e-06    -7.614766273364082e-05     2.144047329202766e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8228.975005222153     All      -6.333163096819303e-06     1.2214651204627586e-06     9.136298590907022e-07      2.5015620547157946e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8216.787686743213     All      -2.0558698584993037e-05    7.345895633058937e-08      -3.014195903902516e-05     5.375475294129374e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R         6360.716797335136     All      -9.59922486775959e-06      5.152174599196679e-06      4.764455806313133e-05      6.931173915832333e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6517.890309661113     All      -4.008006613227959e-05     3.321058180098706e-07      -1.987968050005601e-05     1.227643508852827e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U       3655.0722536468684    All      -0.00017406872337373297    0.00015574912367892114     0.0003934126762695252      0.0001249887243327619      
