#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.712004883038    All      -1.0190502833949675        0.780382320972528          0.1567942185600968         0.5931314046613123         
Zeropoint     AB|CNIa02|SDSS_i                      7397.820687577979    All      0.6442116578180035         -0.10398207661896919       0.4952026700502987         -0.2216126933681048        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.44224534929     All      0.4333661011443118         0.4354032623468562         -0.021007350034674133      -0.0002738911244970499     
Zeropoint     AB|CNIa02|SDSS_r                      6100.41603583141     All      0.9383012898854354         -0.11323542562280409       -0.6283570312140441        -0.370560791135037         
Check         All|All|All                           All                  All      0.9968287654527831         0.998568081077611          0.0026325073616773054      0.0006840290336734833      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.712004883038    All      -0.00041164284303041646    0.000169127490254883       -0.00046786120487233234    0.00016829750756279803     
Lambda        AB|CNIa02|SDSS_i                      7397.820687577979    All      -9.298871597418921e-05     -1.2431442774672335e-05    -0.0003235172426389174     1.1803065458627092e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.44224534929     All      -2.891808898976045e-05     4.9927590645244395e-05     -0.0008183965529679796     -1.0838647596615104e-05    
Lambda        AB|CNIa02|SDSS_r                      6100.41603583141     All      2.1716466458847426e-05     -4.114453229249524e-05     -0.00039965897545347423    -3.83108398659507e-05      
MWEBV         All|All|All                           All                  All      -0.8572842981833273        -4.041859093593203         0.09226747414967651        -1.0332033066616841        
Redshift      All|All|All                           All                  All      4.853207034801894          -0.9917985699006593        3.30477395617107           -1.7564337370381489        
