#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.712004883038    All      -1.0853232696450141        0.7754951649175723         -0.0239115257155536        0.6050627216741225         
Zeropoint     AB|CNIa02|SDSS_i                      7397.820687577979    All      0.5625358795471481         -0.09668858296496552       0.4229481251225071         -0.19585686298707822       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.44224534929     All      0.5031521463952484         0.4336930723270349         0.108280814663974          -0.017793030117019232      
Zeropoint     AB|CNIa02|SDSS_r                      6100.41603583141     All      1.0171177140200085         -0.11411200710096381       -0.5048886197329989        -0.3910095967506167        
Check         All|All|All                           All                  All      0.9974824703173906         0.9983876471786779         0.0024287943379286414      0.00040323181940832287     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.712004883038    All      -0.00029850625451462143    8.938797322913487e-05      -0.00041974478027851357    0.00010761862959140065     
Lambda        AB|CNIa02|SDSS_i                      7397.820687577979    All      -0.0001223838695689075     -1.1672508723805522e-05    -0.0004526562918799334     1.586236119138473e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.44224534929     All      -5.0777366976041953e-05    7.187903164462558e-06      -0.0009581962614695701     -2.3878702827630815e-05    
Lambda        AB|CNIa02|SDSS_r                      6100.41603583141     All      -0.0001264063289586703     -3.5044188410099885e-05    -0.0006047788455710585     2.771152672747689e-06      
MWEBV         All|All|All                           All                  All      -0.874213507498363         -4.039164206534274         0.06858044166292582        -1.0278681363283682        
Redshift      All|All|All                           All                  All      5.087161624047274          -0.47200807433007697       3.895614840111192          -1.6369610636098104        
