#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7164.127739463347    All      0.6513813705380241         -0.12294406725743556      0.5078009629193289        -0.22956244491059014       
Zeropoint     AB|PS|PS_r                5914.819758309127    All      1.3101725848482868         0.07173398839146472       -0.727247912721772        -0.43585392850153254       
Zeropoint     AB|PS|PS_z                8233.33086870878     All      0.2591667729829766         -0.07190334383242458      0.10037885492275855       -0.10336098165830074       
Zeropoint     AB|PS|PS_g                4657.587356611707    All      -1.2194289630532755        1.1210947918744552        0.1209608856753086        0.7677835166987779         
Check         All|All|All               All                  All      1.001291765316012          0.9979813691760597        0.0018927907956239887     -0.0009938383716455723     
Lambda        AB|PS|PS_i                7164.127739463347    All      -0.0003146042074063199     1.1337877877286563e-05    -0.0007862687899317006    7.108249546024868e-05      
Lambda        AB|PS|PS_r                5914.819758309127    All      -0.00014260003869834533    -4.472854572690304e-05    1.6465296209410444e-06    3.1953442192023195e-05     
Lambda        AB|PS|PS_z                8233.33086870878     All      0.0001541044256981819      -3.087674677598094e-05    0.0001750914825110452     -5.2440924876270255e-05    
Lambda        AB|PS|PS_g                4657.587356611707    All      -0.00017540430545004648    -3.072803219866101e-05    -0.000913791931851508     6.347484881996379e-06      
MWEBV         All|All|All               All                  All      -0.7021690513414902        -3.9111316145326924       0.06931554572652265       -1.0421714441129215        
Redshift      All|All|All               All                  All      5.849554181516418          0.03812404762655319       2.3854229038865262        -1.7865235166310784        
