#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7164.127739463347    All      0.6085526031944375         -0.11656057266087316       0.34096768848164144        -0.22097739496199537       
Zeropoint     AB|PS|PS_r                5914.819758309127    All      1.3509230212137209         0.05898919776488043        -0.5680975811492108        -0.4461769355264763        
Zeropoint     AB|PS|PS_z                8233.33086870878     All      0.23958621301619237        -0.061236444962098346      0.09823021028636714        -0.09360427334497018       
Zeropoint     AB|PS|PS_g                4657.587356611707    All      -1.1974818649179342        1.1168786234160955         0.13132976548304134        0.7597239955065819         
Check         All|All|All               All                  All      1.001579972506417          0.9980708035580044         0.0024300831018390923      -0.001034608326860087      
Lambda        AB|PS|PS_i                7164.127739463347    All      -0.0003190218628743529     1.020078866509813e-05      -0.0007593067446949255     7.335427606392387e-05      
Lambda        AB|PS|PS_r                5914.819758309127    All      -0.00021471786736346185    -2.5839741620957382e-05    -2.5727017449768884e-05    6.037574083123327e-05      
Lambda        AB|PS|PS_z                8233.33086870878     All      0.00015315684242987789     -3.347387613055408e-05     0.0001227684367305979      -5.53131735271466e-05      
Lambda        AB|PS|PS_g                4657.587356611707    All      -0.0001313114719351914     -7.087074928220507e-05     -0.000923919465194116      -2.1542750514204432e-05    
MWEBV         All|All|All               All                  All      -0.7058090992814661        -3.9097081104864095        0.047199397051035055       -1.0415090207846749        
Redshift      All|All|All               All                  All      6.337134623918397          0.2845179073778681         4.6834641793164415         -1.7625348938026635        
