#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_r 6102.076745498402 All -0.8399503885631457 -0.8908666868659205 -3.405865200568094 -0.16857323478195566
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5411.915124196696 All 171502.29671413873 13.326683053377058 1251749.2740769088 0.22166692220563658
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4325.889316560025 All -0.41202892702325333 0.4779916468259806 0.501490836887333 0.3122882144960256
Zeropoint AB|CNIa02|SDSS_i 7399.8345883116945 All 2.0307146126473343 0.6294894961378033 5.067873831609109 -0.23026918618211184
Check All|All|All All All 171503.07544943583 13.543297509474922 1251751.4375763768 0.1351127157375947
