#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6102.076745498402     All      -0.19685622994011376       -1.0577493891233303       -4.703909085765101       -0.4903350827143438       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.915124196696     All      0.6238620067668972         1.1997857799450173        1.8442997076276058       0.26989994564270425       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.889316560025     All      -0.7948400067388592        0.6654854844748925        0.384899749214096        0.49285236379676967       
Zeropoint     AB|CNIa02|SDSS_i                      7399.8345883116945    All      1.325214949720528          0.18498213534385854       2.5443411887332346       -0.2578690786710802       
Check         All|All|All                           All                   All      0.9573807198084524         0.9925040106404381        0.06963155980983515      0.014548148054049914      
Lambda        AB|CNIa02|SDSS_r                      6102.076745498402     All      -8.168511258368417e-05     0.00010515542097995614    0.0006106889693440429    8.811235256148997e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.915124196696     All      0.00019671267727613408     0.0006199052108218605     0.0009384859134980786    0.00017972804680617695    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.889316560025     All      -0.00038883918260898466    0.0006574074785846216     0.0008735656355364253    0.00037978018021566663    
Lambda        AB|CNIa02|SDSS_i                      7399.8345883116945    All      0.0008588042818774152      0.0001650895143916381     0.0017696962811481643    -0.0001469923052014588    
MWEBV         All|All|All                           All                   All      -0.6923901556009935        -3.986691158756983        0.5601755160333344       -1.048064155524242        
Redshift      All|All|All                           All                   All      1.9812702354041871         -6.442157504566204        -14.714403344375881      -3.4004237778989865       
