#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3909.448348787603     All      -1.011333691184403         0.5674092080248272         0.006336076627052445       0.5145312513704028        
Zeropoint     AB|SDSS|SDSS_r            5108.480288270752     All      0.687990012545653          0.3824620127282685         -0.3613819252122195        -0.11564733666822753      
Zeropoint     AB|SDSS|SDSS_i            6194.925220948993     All      1.2104253496578044         0.04527843681803034        0.2335561548390755         -0.36910414320091883      
Zeropoint     AB|SDSS|SDSS_z            7365.2496870886625    All      0.11099156836986658        0.0036659694035989787      0.12420628023341676        -0.029416722662635023     
Check         All|All|All               All                   All      0.9980732393889208         0.998815626974725          0.0027165864873251733      0.00036304883862141313    
Lambda        AB|SDSS|SDSS_g            3909.448348787603     All      -0.0010078726440886612     0.0004511050649286253      -0.0009148047451765144     0.0004344135045368418     
Lambda        AB|SDSS|SDSS_r            5108.480288270752     All      -0.00013997957964759005    -2.7404311226696864e-05    -0.002022440173011328      -5.358274764874877e-05    
Lambda        AB|SDSS|SDSS_i            6194.925220948993     All      -0.00021968839229697857    -3.5245922625203544e-05    -0.0005010802715823462     3.7718069206838306e-05    
Lambda        AB|SDSS|SDSS_z            7365.2496870886625    All      -2.4333009447678302e-05    -1.461280988440232e-06     -3.7231179926862665e-05    5.788617853178464e-06     
MWEBV         All|All|All               All                   All      -0.5715950351451133        -3.19012457854555          0.06801132419670759        -0.8499061863144912       
Redshift      All|All|All               All                   All      5.9177774825287806         0.7142048417314584         4.060576757267248          -1.5137699104402962       
