#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3909.448348787603     All      -1.012638222525125         0.5591851815299975        -0.04302914937115432      0.5100744008440633         
Zeropoint     AB|SDSS|SDSS_r            5108.480288270752     All      0.6785951269010724         0.39119847423165766       -0.34342172349393074      -0.10893987908406622       
Zeropoint     AB|SDSS|SDSS_i            6194.925220948993     All      1.2147947137361392         0.04537092070613369       0.26654248217448107       -0.3690252354957986        
Zeropoint     AB|SDSS|SDSS_z            7365.2496870886625    All      0.11636897633764651        0.0030002204351120554     0.1192686411526811        -0.03160552184515216       
Check         All|All|All               All                   All      0.9971205944497332         0.9987547969029009        -0.0006397495379228957    0.00050376441904635        
Lambda        AB|SDSS|SDSS_g            3909.448348787603     All      -0.000963577753518518      0.00040683146719337786    -0.0010182075483666218    0.00040094944188458264     
Lambda        AB|SDSS|SDSS_r            5108.480288270752     All      -0.00010873238255062974    -1.092284088048867e-05    -0.001694927101565566     -4.3777026463954886e-05    
Lambda        AB|SDSS|SDSS_i            6194.925220948993     All      -0.00035645587420952084    -4.246807284725612e-05    -0.0005644397200472521    7.708780446768443e-05      
Lambda        AB|SDSS|SDSS_z            7365.2496870886625    All      -2.9411182258922933e-05    -1.923516601387998e-06    -5.212988137437516e-05    6.627319840145127e-06      
MWEBV         All|All|All               All                   All      -0.5726534729033799        -3.1891561946338243       0.0742184655653233        -0.8489689876052102        
Redshift      All|All|All               All                   All      5.420615847429764          0.4918432647752269        0.024113461793895397      -1.6043873089214247        
