#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5383.9940446098835    All      0.04653040767788863        0.19526126044602243        0.3762723720112898         0.06523783965266466       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6390.362998617286     All      0.364320166812816          -0.7237678509313561        -3.595725546653293         -0.5148867809888187       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5386.677984481382     All      -0.13744245500850216       0.5254946130827776         -0.7027524317135814        0.1845797996568466        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7851.467999700984     All      0.28797247866603765        0.20657218493238538        0.24382412986943555        -0.015634002586820718     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4385.1600803603915    All      0.03999716132745712        -0.048094125449704705      2.329201041435102          0.07524731462522709       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7921.666825438154     All      0.6794837415312793         -0.17096997013927862       1.9625892512232728         -0.1894394085514559       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4393.055953068796     All      -0.7206011244632311        0.8680430837571862         -1.4076434618050806        0.4546570208316356        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6544.5914764840245    All      0.4777755114786113         0.1544901861866954         0.9900471510079374         -0.06112340899147505      
Check         All|All|All                                      All                   All      1.0380358880223568         1.0070293818847276         0.19581250537508277        -0.001361626352196381     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5383.9940446098835    All      4.023616936688179e-05      0.00016375707210894577     0.00028391965367882953     5.290485188796861e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6390.362998617286     All      -3.202345505515901e-05     1.1037711860750467e-05     -6.127429124835007e-06     1.3752999715246607e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5386.677984481382     All      -0.0002649141262165406     0.0005566392971409571      -0.0016845260288685015     0.00019243431837215406    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7851.467999700984     All      -1.3349071319450463e-05    -1.0158600326196804e-05    -8.350236145817288e-06     6.666086779402897e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4385.1600803603915    All      7.129012839443948e-05      -6.761448259220127e-05     0.002568331012247905       6.936701553463266e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7921.666825438154     All      -4.3307983542723594e-05    1.1308926497229467e-05     -0.00011957581661058347    1.245440493951242e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4393.055953068796     All      -0.0006603570228178432     0.000790278932457689       -0.0010820683506649737     0.0004242321144086094     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6544.5914764840245    All      -2.0648242939201887e-05    -5.876783029592122e-06     -4.5729002187989063e-05    2.7708751172166976e-06    
MWEBV         All|All|All                                      All                   All      -0.6845190638437342        -4.063295622253582         0.5331582932833806         -1.0767862775993566       
Redshift      All|All|All                                      All                   All      1.3872640835678922         -6.00866120503043          -20.378333750711295        -3.318487626203834        
