#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7174.119454621801    All      0.5757287682564476         -0.11780983613407514       0.5517639979275679        -0.20128564712522667       
Zeropoint     AB|PS|PS_g                4664.083232716279    All      -1.1680100165731475        1.0557575236566308         0.07523419991045666       0.7277116044356713         
Zeropoint     AB|PS|PS_z                8244.813787472536    All      0.28129958088150997        -0.09099313863814018       0.10353817365434947       -0.11664755365765611       
Zeropoint     AB|PS|PS_r                5923.069079983428    All      1.3128399399227302         0.15070257375020546        -0.7276586655703299       -0.41101843757513357       
Check         All|All|All               All                  All      1.0018582724875404         0.9976571226346209         0.0028777059220441714     -0.001240033922345063      
Lambda        AB|PS|PS_i                7174.119454621801    All      -0.00031156352636385544    3.5366448039487956e-05     -0.0010997776391613806    6.392848138053232e-05      
Lambda        AB|PS|PS_g                4664.083232716279    All      -4.822025640371637e-06     -0.00021897119729803513    -0.0010564679834222505    -0.00011690074442557389    
Lambda        AB|PS|PS_z                8244.813787472536    All      0.00021557010356183022     -6.0026476439002316e-05    0.00012982296077129459    -8.397747048050983e-05     
Lambda        AB|PS|PS_r                5923.069079983428    All      -0.0003799049301904956     -2.1756689074569475e-05    -0.0007517287421374811    8.311446366224471e-05      
MWEBV         All|All|All               All                  All      -0.6907343110962483        -3.9272733871721144        0.07423685657944601       -1.0509344060991799        
Redshift      All|All|All               All                  All      6.328640451895499          0.9399471398415571         13.995634497566789        -1.1307138064779454        
