#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6182.544288011619     All      1.2858934180742985         -0.12511025752584004      0.014029716277691345       -0.45898423598374427      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4266.589178895977     All      -1.0359097774285977        0.5852004050904469        0.5081942996600973         0.550727296929146         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5261.8784185226705    All      0.2879918702918092         0.713603327908352         -1.1326022297327665        0.08809281828767224       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8051.995777144844     All      0.46134357616647875        -0.1813925562810681       0.6271679557788394         -0.1813726783406664       
Check         All|All|All                                    All                   All      0.9993190871039885         0.9923009191918908        0.016789741983861628       -0.0015367991075924126    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6182.544288011619     All      -0.0003802079049709811     5.861318688461414e-05     -0.000588789397655593      0.00011666349979699641    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4266.589178895977     All      -0.00047757212768086425    0.00011060054046469903    -7.156458270721409e-05     0.00018839358967904723    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5261.8784185226705    All      -0.00011637979211968093    0.0003039031637245979     -0.0025756208002977953     2.196185869820224e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8051.995777144844     All      -2.6122525139155805e-05    2.033858990732146e-05     -0.00010515070311321694    1.0441520755689429e-05    
MWEBV         All|All|All                                    All                   All      -0.7854494736285011        -3.9899025274090505       0.14733473319760085        -1.0372209105317518       
Redshift      All|All|All                                    All                   All      6.440596579458834          -1.7422487622798855       11.410789660395645         -2.1562108007376275       
