#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4996.544484101206    All      1.2363437673064372         0.550410907003851          5.20491739721165          0.008840658995247497       
Zeropoint     AB|SDSS|SDSS_g            3823.785447085583    All      -1.2312785760413931        0.45212581195936963        -2.159324321173184        0.45197946449512594        
Zeropoint     AB|SDSS|SDSS_z            7203.864089002535    All      0.08524179064568031        -1.0082217904994195e-05    -0.047032800384760876     -0.029868197562311904      
Zeropoint     AB|SDSS|SDSS_i            6059.183494007368    All      0.9075287909097274         -0.005451492955543813      -2.99411447901643         -0.43100129234218965       
Check         All|All|All               All                  All      0.9978357728204519         0.9970751437897718         0.004445796637275734      -4.936641412811582e-05     
Lambda        AB|SDSS|SDSS_r            4996.544484101206    All      -0.00023505776181684628    -8.019305273098857e-05     -0.0016858143652404033    -2.4785621808494313e-05    
Lambda        AB|SDSS|SDSS_g            3823.785447085583    All      -0.001937237458424874      0.0004192098058450758      -0.0068079985626733714    0.00046376269093931525     
Lambda        AB|SDSS|SDSS_z            7203.864089002535    All      -5.296498203541327e-05     -9.24714758764018e-06      -0.0002591710916943167    2.674721461124332e-06      
Lambda        AB|SDSS|SDSS_i            6059.183494007368    All      -0.00020188398462535096    2.4525470760660546e-05     0.001566405315411188      0.00014365048325646395     
MWEBV         All|All|All               All                  All      -0.5269485369730229        -3.0810370543289167        0.3692744855787522        -0.815471632844171         
Redshift      All|All|All               All                  All      5.654045643622802          0.8697424066751225         11.218471326356383        -1.0577761124550018        
