#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4996.544484101206    All      1.1055572540685341         0.482667430747874         3.295028991649572         -0.05585369754549471       
Zeropoint     AB|SDSS|SDSS_g            3823.785447085583    All      -1.2258905349268758        0.4742580374584193        -1.5699863269371017       0.4837330441677239         
Zeropoint     AB|SDSS|SDSS_z            7203.864089002535    All      0.07091196791549226        0.002073800467528031      -0.014251479132920105     -0.023058833905268496      
Zeropoint     AB|SDSS|SDSS_i            6059.183494007368    All      1.046856378210055          0.03891271338325453       -1.7105602320865136       -0.4046548588347404        
Check         All|All|All               All                  All      0.9974350652672056         0.9979119820570759        0.00023095349303670076    0.00016565388222028465     
Lambda        AB|SDSS|SDSS_r            4996.544484101206    All      -0.00017391004644581542    -7.52538453946628e-05     -0.000959766085524683     -1.0694381975807483e-05    
Lambda        AB|SDSS|SDSS_g            3823.785447085583    All      -0.0017279678552269548     0.0004934000249651005     -0.004369670064720332     0.0005285742935913257      
Lambda        AB|SDSS|SDSS_z            7203.864089002535    All      -2.544236666289765e-05     -2.904037196740897e-07    1.0706015184753759e-05    8.67058209235662e-06       
Lambda        AB|SDSS|SDSS_i            6059.183494007368    All      -0.00024044315357868445    -8.975641297691467e-06    0.000271365024309751      8.750635850535143e-05      
MWEBV         All|All|All               All                  All      -0.5499066853894918        -3.0839387373250204       0.19175949652685412       -0.8168602608831758        
Redshift      All|All|All               All                  All      5.225907964650643          0.7775784166920374        5.58050883649676          -1.1999348004425245        
