#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4804.432841042365    All      -1.1848078121851002        1.242968244716991          -0.49232521838256105      0.768836319864391          
Zeropoint     AB|PS|PS_i                7390.000005054074    All      0.5505007622114523         -0.053913882328071594      0.664193771313859         -0.16723781689561082       
Zeropoint     AB|PS|PS_z                8492.913216246963    All      0.36542841242449775        -0.09582559448855221       0.03726843718148132       -0.14858248567400228       
Zeropoint     AB|PS|PS_r                6101.303554795725    All      1.2689893958707554         -0.0945235683838419        -0.20833587418331856      -0.4534381039145642        
Check         All|All|All               All                  All      1.0001107583216051         0.9987051995165253         0.0008011159294607495     -0.00042208661978621054    
Lambda        AB|PS|PS_g                4804.432841042365    All      -0.000549482648962768      -4.930839349965389e-05     -0.0036810675526259217    -1.345928093367166e-06     
Lambda        AB|PS|PS_i                7390.000005054074    All      -0.0001375012107908364     6.068694869569457e-06      -0.0002310620933026459    3.645420158890663e-05      
Lambda        AB|PS|PS_z                8492.913216246963    All      0.00036584884346457303     -9.62807937234892e-05      5.36261921386494e-05      -0.00014813773578666687    
Lambda        AB|PS|PS_r                6101.303554795725    All      -0.00018659322496221263    -3.2597775904625977e-05    -0.0004475544570315494    3.0189084183799477e-05     
MWEBV         All|All|All               All                  All      -0.7067817046661706        -4.0695880922273275        0.06713156280899746       -1.09238090014864          
Redshift      All|All|All               All                  All      5.474664232470735          2.2378766462031408         16.38097570513677         -0.32332049337584906       
