#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4804.432841042365    All      -1.1031194441530359        1.2540417462978404         -0.1304076307552499       0.7619854544095789        
Zeropoint     AB|PS|PS_i                7390.000005054074    All      0.512728887873422          -0.0780215875099799        0.3823248307830348        -0.17536546370232123      
Zeropoint     AB|PS|PS_z                8492.913216246963    All      0.41628419574318914        -0.10910885352366506       0.05618986110182279       -0.16863030563384512      
Zeropoint     AB|PS|PS_r                6101.303554795725    All      1.1733089318412642         -0.06750512161799449       -0.3045018281444764       -0.4177624768452938       
Check         All|All|All               All                  All      0.9992025713048392         0.9994061836462009         0.0036052329851313236     0.0002272082281187804     
Lambda        AB|PS|PS_g                4804.432841042365    All      -0.00039799663183596394    -2.857936070771489e-05     -0.0026609803258779005    1.5840281703507143e-06    
Lambda        AB|PS|PS_i                7390.000005054074    All      -5.3859035027645695e-05    5.346127339912432e-06      -6.251847745160713e-05    1.649515666341627e-05     
Lambda        AB|PS|PS_z                8492.913216246963    All      0.0005242244622205542      -0.00011704984445069673    0.0002518154751635668     -0.0001976467708709584    
Lambda        AB|PS|PS_r                6101.303554795725    All      -0.00011729819022943789    -3.58033736771058e-05      -0.0004026396188762261    8.577585917358013e-06     
MWEBV         All|All|All               All                  All      -0.681833929585812         -4.076416890030821         0.07489720644031299       -1.1023850303461518       
Redshift      All|All|All               All                  All      4.27631305093042           2.25383989936887           10.552920173783606        -0.1878576833072298       
