#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7797.292987251897     All      0.12087041405117083        0.00491506388353713       0.16297880534777492        -0.030497476819214504      
Zeropoint     AB|SDSS|SDSS_i            6558.317644890187     All      0.9039677371140841         0.04472352100126642       0.6554034875193164         -0.25063646199435546       
Zeropoint     AB|SDSS|SDSS_u            3147.4830201121968    All      -0.11034607924035755       0.06418484075947362       0.17649464067440718        0.06472660774339575        
Zeropoint     AB|SDSS|SDSS_g            4138.775396503151     All      -0.7468792774072525        0.5958238368942048        -0.28090713824817          0.42482698252816226        
Zeropoint     AB|SDSS|SDSS_r            5408.142183838578     All      0.8249871121728622         0.29111371152623633       -0.7031802542660077        -0.20527983566158597       
Check         All|All|All               All                   All      0.9925999066905068         1.0007609740647183        0.010789541027320881       0.0031398157964020734      
Lambda        AB|SDSS|SDSS_z            7797.292987251897     All      5.310521259509224e-06      1.4211150519386517e-06    2.3453599605929165e-05     -2.2028112754341255e-07    
Lambda        AB|SDSS|SDSS_i            6558.317644890187     All      -0.00026645323956774183    -2.048980459215117e-05    -0.00031149131568367804    6.62179559371097e-05       
Lambda        AB|SDSS|SDSS_u            3147.4830201121968    All      -7.21166597933603e-05      4.414241710735434e-05     0.0001334715748291182      4.382562952843773e-05      
Lambda        AB|SDSS|SDSS_g            4138.775396503151     All      -0.0006929499994935339     0.00028534627714127604    -0.002020561704404668      0.0002284948935281337      
Lambda        AB|SDSS|SDSS_r            5408.142183838578     All      0.00024565875452570884     7.642433472664949e-05     -0.0002837271064085675     -6.778665582313783e-05     
MWEBV         All|All|All               All                   All      -0.7964669700111426        -3.3679577271390926       0.3393045409352552         -0.822477535837075         
Redshift      All|All|All               All                   All      4.402720603818581          -0.2902546543772644       7.0302092873014725         -1.2149304839855193        
