#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7797.292987251897     All      0.20510427264965547        0.01486673928798865       0.5054501695479274         -0.03941070362658006       
Zeropoint     AB|SDSS|SDSS_i            6558.317644890187     All      0.9801891780796672         0.061328173752528414      1.6441620041103722         -0.22593185985798625       
Zeropoint     AB|SDSS|SDSS_u            3147.4830201121968    All      0.0057499142370728284      -0.003419908769508595     -0.02759928745277307       -0.0042185424715346365     
Zeropoint     AB|SDSS|SDSS_g            4138.775396503151     All      -0.9270963304937273        0.6815850747919683        -0.4308075020175828        0.5047754975600283         
Zeropoint     AB|SDSS|SDSS_r            5408.142183838578     All      0.7551552272500688         0.24086516623036403       -1.7281823292660814        -0.24464203261536088       
Check         All|All|All               All                   All      1.019102261722737          0.9952252452933408        -0.036976945078137646      -0.009427641011433563      
Lambda        AB|SDSS|SDSS_z            7797.292987251897     All      4.437121151992085e-05      1.0199734467642043e-05    0.00021373095983467645     -1.592943177501021e-06     
Lambda        AB|SDSS|SDSS_i            6558.317644890187     All      -0.0003070667071499552     -7.348471214887252e-06    -4.9322660594102396e-05    9.542704606960127e-05      
Lambda        AB|SDSS|SDSS_u            3147.4830201121968    All      -3.5644746904802573e-06    2.1537781528897933e-05    0.00014095878205356774     1.4466973733132564e-05     
Lambda        AB|SDSS|SDSS_g            4138.775396503151     All      -0.0009270490828866944     0.0007312420388238612     -0.0005106519019694251     0.0005173719254530112      
Lambda        AB|SDSS|SDSS_r            5408.142183838578     All      0.00020618456947311828     0.00018917060173616744    -0.0003575631410639106     -2.1498409792412565e-05    
MWEBV         All|All|All               All                   All      -0.6266870109181073        -3.4555751518277944       0.19143279478481823        -0.9129191687375138        
Redshift      All|All|All               All                   All      4.869741035428772          -2.4419053958629533       -0.7123029580872853        -2.413430598224653         
