#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4582.904087261653    All      -0.9016816405177375        0.9895215539173385         0.6303354146991043         0.6441560736966949         
Zeropoint     AB|PS|PS_i                7049.252710685839    All      0.9524880661660864         -0.17584160089256784       0.8104386254462865         -0.3313679398607534        
Zeropoint     AB|PS|PS_r                5819.977076176768    All      0.5372728472022501         0.27625142343472575        -1.8576906424583441        -0.16792346637925656       
Zeropoint     AB|PS|PS_z                8101.311430352349    All      0.4102789409920352         -0.09129956568596498       0.42008592635913755        -0.1446341155592177        
Check         All|All|All               All                  All      0.9983582138426343         0.9986318107735315         0.0031693240461841965      0.00023055189746723492     
Lambda        AB|PS|PS_g                4582.904087261653    All      -0.00012691355135200554    -1.9878296587700297e-05    -0.0007305946239487739     2.2618212649261214e-06     
Lambda        AB|PS|PS_i                7049.252710685839    All      -0.0006681677897731389     8.930761736677053e-05      -0.0008414706081417732     0.000209183691799507       
Lambda        AB|PS|PS_r                5819.977076176768    All      -0.00014078468380442628    -8.104260885312757e-05     -0.00043859140693543625    -1.1236084653292534e-07    
Lambda        AB|PS|PS_z                8101.311430352349    All      3.9112937904610877e-05     1.1617415978994014e-05     0.00019215076631703043     -3.8138988279599074e-07    
MWEBV         All|All|All               All                  All      -0.6103264672540463        -3.8430879557192377        0.17621597169033495        -1.0451530620011777        
Redshift      All|All|All               All                  All      5.537780613417798          0.36242463852245166        5.409021075691953          -1.444403937304739         
